time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0,3.6112298485588665,930152448,14470,42
0.5071685314178467,1,27.735965233675298,7144013824,26476,44
1.0082151889801025,35,83.79361056831135,21582905344,111829,50
1.5091454982757568,1,83.84246254681648,21595488256,156930,50
2.0099241733551025,0,83.84246254681648,21595488256,191353,49
2.5106616020202637,63,83.84246254681648,21595488256,215175,51
3.0122451782226562,38,83.84246254681648,21595488256,213634,49
3.5132882595062256,100,83.84246254681648,21595488256,214368,46
4.014273166656494,72,83.84246254681648,21595488256,213253,46
4.515420436859131,39,83.84246254681648,21595488256,216182,47
5.017276763916016,100,83.84246254681648,21595488256,221865,47
5.521458148956299,91,83.84246254681648,21595488256,213720,48
6.022918701171875,100,83.84246254681648,21595488256,224325,49
6.523914337158203,61,83.84246254681648,21595488256,223836,50
7.025768280029297,97,83.84246254681648,21595488256,224095,52
7.526740789413452,100,83.84246254681648,21595488256,224909,54
8.028090476989746,67,83.84246254681648,21595488256,223986,55
8.531368255615234,2,83.84246254681648,21595488256,223394,57
9.032638549804688,36,83.84246254681648,21595488256,223299,56
9.533565044403076,70,83.84246254681648,21595488256,222312,56
10.034513711929321,5,83.84246254681648,21595488256,223117,55
10.535369157791138,38,83.84246254681648,21595488256,223507,54
11.036244869232178,22,83.84246254681648,21595488256,222297,53
11.537128686904907,89,83.84246254681648,21595488256,214600,55
12.043545007705688,56,83.84246254681648,21595488256,214370,51
12.544443130493164,100,83.84246254681648,21595488256,214276,49
13.045324802398682,93,83.84246254681648,21595488256,217223,49
13.546135187149048,100,83.84246254681648,21595488256,223456,50
14.062000751495361,100,83.84246254681648,21595488256,225022,50
14.56586217880249,87,83.84246254681648,21595488256,217933,51
15.066555261611938,100,83.84246254681648,21595488256,223180,51
15.567350387573242,100,83.84246254681648,21595488256,223885,52
16.068299293518066,78,83.84246254681648,21595488256,226145,54
16.56925892829895,100,83.84246254681648,21595488256,223892,59
17.06998872756958,47,83.84246254681648,21595488256,212965,58
17.570728302001953,13,83.84246254681648,21595488256,223884,60
18.07145619392395,17,83.84246254681648,21595488256,221935,59
18.57220697402954,33,83.84246254681648,21595488256,216164,57
19.07295298576355,27,83.84246254681648,21595488256,216972,57
19.57382082939148,5,83.84246254681648,21595488256,216707,58
20.074562549591064,56,83.84246254681648,21595488256,215703,56
20.576178789138794,100,83.84246254681648,21595488256,229021,56
21.078361988067627,88,83.84246254681648,21595488256,216114,52
21.579237937927246,53,83.84246254681648,21595488256,216055,51
22.080150842666626,100,83.84246254681648,21595488256,216064,52
22.581141471862793,84,83.84246254681648,21595488256,217689,52
23.082184553146362,70,83.84246254681648,21595488256,205690,56
23.583114862442017,0,83.84246254681648,21595488256,186736,60
24.083925008773804,0,83.84246254681648,21595488256,184942,57
24.585066318511963,10,83.84246254681648,21595488256,211317,51
25.086017370224,100,83.84246254681648,21595488256,216444,52
25.586950063705444,100,83.84246254681648,21595488256,202370,55
26.102701663970947,25,83.84246254681648,21595488256,213813,61
26.603537559509277,18,83.84246254681648,21595488256,188288,59
27.104329586029053,42,83.84246254681648,21595488256,206181,54
27.60517716407776,62,83.84246254681648,21595488256,222204,52
28.1360285282135,88,83.84246254681648,21595488256,205838,54
28.636983156204224,82,83.84246254681648,21595488256,184360,59
29.137948513031006,72,83.84246254681648,21595488256,185932,59
29.638789176940918,0,83.84246254681648,21595488256,184688,58
30.139671802520752,0,83.84246254681648,21595488256,208225,52
30.644609689712524,100,83.84246254681648,21595488256,217035,53
31.145610094070435,49,83.84246254681648,21595488256,211466,56
31.646451950073242,42,83.84246254681648,21595488256,187422,62
32.148756980895996,19,83.84246254681648,21595488256,194123,59
32.65331029891968,25,83.84246254681648,21595488256,216928,57
33.1602885723114,29,83.84246254681648,21595488256,216972,53
33.66270208358765,100,83.84246254681648,21595488256,204678,54
