time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,23,30.120849609375,20698890240,147100,37
2.296846866607666,25,30.11932373046875,20697841664,150000,38
4.5761754512786865,25,30.11932373046875,20697841664,146400,38
6.772798299789429,24,30.11932373046875,20697841664,150600,38
9.038254499435425,24,30.11932373046875,20697841664,149200,39
11.315162181854248,25,30.11932373046875,20697841664,150800,38
13.606049299240112,24,30.11932373046875,20697841664,149900,39
15.888445854187012,25,30.7373046875,21122514944,148700,39
18.16157579421997,24,30.7373046875,21122514944,145000,39
20.44987177848816,25,30.7373046875,21122514944,152100,39
22.733882665634155,23,30.810546875,21172846592,161600,39
25.001842498779297,23,30.8380126953125,21191720960,150000,39
27.26571798324585,23,30.83953857421875,21192769536,143600,39
29.538001537322998,25,30.83953857421875,21192769536,149500,40
31.805893182754517,25,30.83953857421875,21192769536,148800,39
34.066319942474365,25,30.83953857421875,21192769536,152800,40
36.35432147979736,24,30.83953857421875,21192769536,160700,39
38.62170076370239,24,30.87615966796875,21217935360,148800,39
40.95656943321228,22,30.877685546875,21218983936,147400,39
43.21383857727051,24,30.877685546875,21218983936,153400,40
45.4724383354187,23,30.877685546875,21218983936,154900,40
47.70214366912842,23,30.877685546875,21218983936,146800,40
49.94331359863281,24,30.87615966796875,21217935360,147000,40
52.22186517715454,25,30.87615966796875,21217935360,150100,40
54.51074838638306,25,30.87615966796875,21217935360,149200,40
56.7817645072937,25,30.87615966796875,21217935360,150800,41
59.071053981781006,24,30.87615966796875,21217935360,150800,40
61.345436573028564,25,30.87615966796875,21217935360,151700,41
63.68028497695923,25,30.877685546875,21218983936,150200,41
65.97276711463928,25,30.877685546875,21218983936,150700,41
68.22483682632446,24,30.877685546875,21218983936,157800,41
70.5176465511322,24,30.877685546875,21218983936,149100,40
72.81687045097351,24,30.877685546875,21218983936,149600,41
75.07827401161194,25,30.87615966796875,21217935360,150900,41
77.34762167930603,24,30.87615966796875,21217935360,149800,41
79.59043884277344,23,30.87615966796875,21217935360,146000,41
81.86356830596924,24,30.87615966796875,21217935360,154300,41
84.15103220939636,22,30.87615966796875,21217935360,145900,41
86.40872144699097,24,30.87615966796875,21217935360,153500,41
88.71568703651428,25,30.877685546875,21218983936,152600,41
91.00181460380554,24,30.8807373046875,21221081088,150200,41
93.29889035224915,24,30.8807373046875,21221081088,150200,41
95.56075477600098,24,30.8807373046875,21221081088,149900,41
97.7741048336029,24,30.87921142578125,21220032512,147200,41
100.03013110160828,24,30.87921142578125,21220032512,150000,41
102.2236168384552,25,30.87921142578125,21220032512,181400,41
104.49817752838135,25,30.87921142578125,21220032512,150300,41
106.74195551872253,24,30.87921142578125,21220032512,150400,41
109.07411360740662,24,30.87921142578125,21220032512,149900,41
111.34967017173767,22,30.87921142578125,21220032512,149800,41
113.6104326248169,25,30.8807373046875,21221081088,149300,41
115.87740921974182,25,30.8807373046875,21221081088,151400,41
118.14985060691833,25,30.8807373046875,21221081088,151800,41
120.48288249969482,25,30.8807373046875,21221081088,150800,41
122.79763293266296,25,30.87921142578125,21220032512,151400,42
125.0673475265503,26,30.87921142578125,21220032512,153400,41
127.34637022018433,25,30.87921142578125,21220032512,152800,41
129.64619398117065,25,30.87921142578125,21220032512,151400,42
131.99788165092468,21,30.87921142578125,21220032512,145400,41
134.28586316108704,24,30.87921142578125,21220032512,150100,41
136.6295726299286,25,30.8807373046875,21221081088,154000,41
138.88227462768555,24,30.8807373046875,21221081088,153300,41
140.99310541152954,18,30.8807373046875,21221081088,139900,41
143.357843875885,23,30.8807373046875,21221081088,145800,41
145.7122027873993,24,30.87921142578125,21220032512,150200,41
148.05868768692017,24,30.87921142578125,21220032512,148300,41
150.4490876197815,23,30.87921142578125,21220032512,146800,41
152.78169202804565,24,30.87921142578125,21220032512,149200,41
155.0812349319458,24,30.87921142578125,21220032512,150800,41
157.3461048603058,25,30.87921142578125,21220032512,151200,41
159.72099590301514,25,30.8807373046875,21221081088,149900,41
161.99617433547974,26,30.8807373046875,21221081088,150800,42
