time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0,2.592010498046875,1113260032,61142,34
0.5278067588806152,0,2.592010498046875,1113260032,61142,34
1.0344276428222656,8,2.953338623046875,1268449280,61686,34
1.54079008102417,49,2.953338623046875,1268449280,117129,36
2.0478017330169678,40,2.953338623046875,1268449280,124501,37
2.557157039642334,40,2.953338623046875,1268449280,125052,37
3.0645711421966553,39,2.953338623046875,1268449280,127124,37
3.5710535049438477,39,2.953338623046875,1268449280,123904,37
4.076996088027954,40,2.953338623046875,1268449280,120955,37
4.583345651626587,40,2.953338623046875,1268449280,127396,38
