time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,2,3.280487060546875,1408958464,61079,32
0.10495567321777344,2,3.280487060546875,1408958464,60148,32
0.21021246910095215,1,3.280487060546875,1408958464,60148,32
0.3160514831542969,1,3.280487060546875,1408958464,60148,32
0.42129969596862793,0,3.563690185546875,1530593280,60474,32
0.5274753570556641,16,3.636932373046875,1562050560,113901,33
0.6341500282287598,16,3.636932373046875,1562050560,72820,33
0.739743709564209,69,3.636932373046875,1562050560,109206,34
0.8457472324371338,69,3.636932373046875,1562050560,223441,35
0.9515578746795654,68,3.636932373046875,1562050560,235182,36
1.0569825172424316,68,3.636932373046875,1562050560,241631,36
1.162365436553955,68,3.636932373046875,1562050560,237534,36
1.2680370807647705,68,3.636932373046875,1562050560,233165,36
1.3778035640716553,64,3.636932373046875,1562050560,239613,37
1.4833910465240479,64,3.636932373046875,1562050560,230813,37
1.588963270187378,63,3.636932373046875,1562050560,226390,36
1.6948339939117432,63,3.636932373046875,1562050560,221090,37
1.800978422164917,63,3.636932373046875,1562050560,216667,37
1.9064733982086182,63,3.636932373046875,1562050560,194652,37
2.0119969844818115,64,3.636932373046875,1562050560,135924,37
2.117384672164917,64,3.636932373046875,1562050560,96317,37
2.223273754119873,64,3.636932373046875,1562050560,105381,37
2.3550281524658203,64,3.636932373046875,1562050560,122430,38
2.4610540866851807,64,3.636932373046875,1562050560,140347,38
2.576317071914673,67,3.636932373046875,1562050560,185580,38
2.6840739250183105,67,3.636932373046875,1562050560,227267,38
2.78999924659729,68,3.636932373046875,1562050560,232839,38
