time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,1,2.977752685546875,1278935040,61884,38
0.5073964595794678,77,31.91818237304688,13708754944,149862,46
1.0158605575561523,78,31.91818237304688,13708754944,229645,48
1.5420987606048584,77,31.91818237304688,13708754944,221134,48
2.049448251724243,78,31.91818237304688,13708754944,232599,48
2.5581698417663574,78,31.91818237304688,13708754944,255459,47
3.0646631717681885,79,31.91818237304688,13708754944,269870,47
3.5710391998291016,78,31.91818237304688,13708754944,263979,47
4.077202081680298,79,31.91818237304688,13708754944,277514,49
4.586296796798706,78,31.91818237304688,13708754944,292134,48
5.094162464141846,78,31.91818237304688,13708754944,298033,48
5.600121021270752,78,31.91818237304688,13708754944,293336,49
6.105913162231445,78,31.91818237304688,13708754944,297700,49
6.61539888381958,79,31.91818237304688,13708754944,302126,50
7.122287034988403,79,31.91818237304688,13708754944,310909,49
7.629255771636963,79,31.91818237304688,13708754944,150016,49
8.136407136917114,78,31.91818237304688,13708754944,145919,49
8.642180919647217,78,31.91818237304688,13708754944,132885,49
9.149299383163452,78,31.91818237304688,13708754944,127124,50
9.65526795387268,79,31.91818237304688,13708754944,186729,50
10.164523601531982,78,31.91818237304688,13708754944,228777,50
10.670021772384644,79,31.91818237304688,13708754944,259607,50
11.224626302719116,78,31.91818237304688,13708754944,105986,48
11.730652093887329,79,31.91818237304688,13708754944,244653,49
12.238100051879883,79,31.91818237304688,13708754944,216116,49
12.74385952949524,78,31.91818237304688,13708754944,183780,50
13.251492977142334,78,31.91818237304688,13708754944,161765,50
13.758079290390015,78,31.91818237304688,13708754944,144893,49
14.265212297439575,78,31.91818237304688,13708754944,141496,50
14.77220106124878,78,31.91818237304688,13708754944,327336,49
15.278339147567749,78,31.91818237304688,13708754944,339398,49
15.787286758422852,77,31.91818237304688,13708754944,339995,49
16.296101331710815,78,31.91818237304688,13708754944,347910,50
16.80154585838318,78,31.91818237304688,13708754944,333507,50
17.307496309280396,78,31.91818237304688,13708754944,293940,50
17.814128875732422,71,36.542205810546875,15694757888,260157,49
18.336894273757935,64,36.542205810546875,15694757888,245529,51
18.8438823223114,78,36.542205810546875,15694757888,225281,50
19.35020160675049,77,36.542205810546875,15694757888,212947,50
19.857796907424927,78,36.542205810546875,15694757888,202567,49
20.365206956863403,78,36.542205810546875,15694757888,215025,50
20.871219635009766,78,36.542205810546875,15694757888,230250,51
21.394568920135498,62,36.542205810546875,15694757888,111558,48
21.9008891582489,78,36.542205810546875,15694757888,343491,50
22.406574249267578,78,36.542205810546875,15694757888,354080,49
22.912273168563843,78,36.542205810546875,15694757888,351406,50
23.418131113052368,78,36.542205810546875,15694757888,314127,51
23.924440622329712,78,36.542205810546875,15694757888,304747,51
24.433396577835083,78,36.542205810546875,15694757888,306220,50
24.93958806991577,75,36.542205810546875,15694757888,315933,51
25.445162057876587,78,36.542205810546875,15694757888,322096,50
25.950936555862427,78,36.542205810546875,15694757888,325863,50
26.459073305130005,78,36.542205810546875,15694757888,328538,51
26.965018272399902,78,36.542205810546875,15694757888,329134,52
27.471815586090088,78,36.542205810546875,15694757888,325863,52
27.9775128364563,78,36.542205810546875,15694757888,312382,51
28.485878467559814,78,36.542205810546875,15694757888,300374,50
28.99148201942444,78,36.542205810546875,15694757888,287173,51
29.497210025787354,77,36.542205810546875,15694757888,310367,50
30.002931594848633,77,36.542205810546875,15694757888,320623,50
30.511038780212402,78,36.542205810546875,15694757888,320297,50
31.01728105545044,78,36.542205810546875,15694757888,320894,51
31.52465558052063,65,36.542205810546875,15694757888,131548,50
32.031429052352905,78,36.542205810546875,15694757888,135047,50
32.5409779548645,78,36.542205810546875,15694757888,128327,51
33.047117471694946,78,36.542205810546875,15694757888,143568,52
33.55344486236572,78,36.542205810546875,15694757888,134776,51
34.060462951660156,78,36.542205810546875,15694757888,125378,50
34.56845164299011,78,36.542205810546875,15694757888,156025,51
35.08201789855957,78,36.542205810546875,15694757888,355499,51
