time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,74,8.437499999611948,17394617548,13350,-1
1.0,78,8.437499999611948,17394617548,13350,-1
2.0,75,8.437499999611948,17394617548,13350,-1
3.0,79,8.489583333236322,17501991731,13350,-1
4.0,76,8.489583333236322,17501991731,13350,-1
5.0,80,8.489583333236322,17501991731,13350,-1
6.0,80,8.333333333333332,17179869184,13350,-1
7.0,77,8.333333333333332,17179869184,13350,-1
8.0,81,8.333333333333332,17179869184,13350,-1
9.0,81,8.38541666647264,17287243366,13350,-1
10.0,78,8.38541666647264,17287243366,13350,-1
11.0,82,8.38541666647264,17287243366,13350,-1
12.0,78,8.38541666647264,17287243366,13350,-1
13.0,82,8.38541666647264,17287243366,13350,-1
14.0,82,8.38541666647264,17287243366,13350,-1
15.0,80,8.437499999611948,17394617548,13350,-1
15.0,80,8.437499999611948,17394617548,13350,-1
16.0,82,8.437499999611948,17394617548,13350,-1
17.0,79,8.437499999611948,17394617548,13350,-1
18.0,83,8.437499999611948,17394617548,13350,-1
19.0,80,8.437499999611948,17394617548,13350,-1
20.0,83,8.489583333236322,17501991731,13350,-1
21.0,84,8.489583333236322,17501991731,13350,-1
22.0,80,8.489583333236322,17501991731,13350,-1
23.0,84,8.489583333236322,17501991731,13350,-1
24.0,80,8.489583333236322,17501991731,13350,-1
25.0,84,8.489583333236322,17501991731,13350,-1
26.0,80,8.489583333236322,17501991731,13350,-1
27.0,84,8.489583333236322,17501991731,13350,-1
28.0,84,8.54166666637563,17609365913,13350,-1
29.0,82,8.54166666637563,17609365913,13350,-1
31.0,84,8.54166666637563,17609365913,13350,-1
32.0,81,8.54166666637563,17609365913,13350,-1
33.0,85,8.54166666637563,17609365913,13350,-1
34.0,81,8.54166666637563,17609365913,13350,-1
35.0,85,8.54166666637563,17609365913,13350,-1
36.0,85,8.54166666637563,17609365913,13350,-1
37.0,82,8.54166666637563,17609365913,13350,-1
38.0,85,8.54166666637563,17609365913,13350,-1
39.0,81,8.59375,17716740096,13350,-1
40.0,85,8.59375,17716740096,13350,-1
41.0,81,8.59375,17716740096,13350,-1
42.0,85,8.59375,17716740096,13350,-1
43.0,85,8.59375,17716740096,13350,-1
44.0,82,8.59375,17716740096,13350,-1
45.0,85,8.59375,17716740096,13350,-1
46.0,82,8.59375,17716740096,13350,-1
47.0,86,8.59375,17716740096,13350,-1
48.0,82,8.59375,17716740096,13350,-1
49.0,86,8.59375,17716740096,13350,-1
50.0,85,8.59375,17716740096,13350,-1
51.0,83,8.645833333139308,17824114278,13350,-1
52.0,86,8.645833333139308,17824114278,13350,-1
53.0,82,8.645833333139308,17824114278,13350,-1
54.0,86,8.645833333139308,17824114278,13350,-1
55.0,82,8.645833333139308,17824114278,13350,-1
56.0,85,8.645833333139308,17824114278,13350,-1
57.0,85,8.645833333139308,17824114278,13350,-1
58.0,82,8.645833333139308,17824114278,13350,-1
59.0,86,8.645833333139308,17824114278,13350,-1
60.0,82,8.489583333236322,17501991731,13350,-1
61.0,86,8.489583333236322,17501991731,13350,-1
62.0,82,8.489583333236322,17501991731,13350,-1
63.0,86,8.489583333236322,17501991731,13350,-1
64.0,85,8.54166666637563,17609365913,13350,-1
65.0,82,8.54166666637563,17609365913,13350,-1
66.0,85,8.54166666637563,17609365913,13350,-1
67.0,82,8.54166666637563,17609365913,13350,-1
68.0,85,8.54166666637563,17609365913,13350,-1
69.0,82,8.54166666637563,17609365913,13350,-1
71.0,86,8.54166666637563,17609365913,13350,-1
72.0,82,8.54166666637563,17609365913,13350,-1
73.0,86,8.54166666637563,17609365913,13350,-1
74.0,83,8.54166666637563,17609365913,13350,-1
75.0,84,8.54166666637563,17609365913,13350,-1
76.0,83,8.54166666637563,17609365913,13350,-1
77.0,86,8.54166666637563,17609365913,13350,-1
78.0,85,8.54166666637563,17609365913,13350,-1
79.0,83,8.59375,17716740096,13350,-1
80.0,86,8.59375,17716740096,13350,-1
81.0,82,8.59375,17716740096,13350,-1
82.0,85,8.59375,17716740096,13350,-1
83.0,82,8.59375,17716740096,13350,-1
84.0,86,8.59375,17716740096,13350,-1
85.0,86,8.59375,17716740096,13350,-1
86.0,82,8.59375,17716740096,13350,-1
87.0,86,8.59375,17716740096,13350,-1
88.0,82,8.59375,17716740096,13350,-1
89.0,86,8.59375,17716740096,13350,-1
90.0,82,8.59375,17716740096,13350,-1
91.0,86,8.59375,17716740096,13350,-1
92.0,85,8.645833333139308,17824114278,13350,-1
93.0,82,8.645833333139308,17824114278,13350,-1
