time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,1,38.958333333236325,80315888435,5971,-1
1.0,4,39.89583333313931,82248623718,5971,-1
2.0,56,40.67708333313931,83859236454,5971,-1
3.0,89,46.510416666569654,95885144883,5971,-1
4.0,39,46.40624999980598,95670396518,5971,-1
5.0,1,46.35416666666667,95563022336,5971,-1
6.0,30,46.40624999980598,95670396518,5971,-1
7.0,54,46.40624999980598,95670396518,5971,-1
8.0,50,46.45833333294529,95777770700,5971,-1
9.0,70,46.24999999990298,95348273971,5971,-1
10.0,61,46.30208333304229,95455648153,5971,-1
11.0,61,46.30208333304229,95455648153,5971,-1
12.0,62,46.35416666666667,95563022336,5971,-1
13.0,63,46.35416666666667,95563022336,5971,-1
13.0,63,46.40624999980598,95670396518,5971,-1
14.0,51,46.40624999980598,95670396518,5971,-1
15.0,50,46.40624999980598,95670396518,5971,-1
16.0,51,46.45833333294529,95777770700,5971,-1
17.0,49,46.45833333294529,95777770700,5971,-1
18.0,48,46.45833333294529,95777770700,5971,-1
19.0,51,46.510416666569654,95885144883,5971,-1
20.0,47,46.510416666569654,95885144883,5971,-1
21.0,51,46.56249999970896,95992519065,5971,-1
22.0,52,46.56249999970896,95992519065,5971,-1
23.0,52,46.61458333333333,96099893248,5971,-1
24.0,52,46.61458333333333,96099893248,5971,-1
25.0,37,46.666666666472636,96207267430,5971,-1
26.0,39,46.666666666472636,96207267430,5971,-1
27.0,38,46.718749999611944,96314641612,5971,-1
28.0,37,46.718749999611944,96314641612,5971,-1
29.0,38,46.770833333236325,96422015795,5971,-1
30.0,35,46.770833333236325,96422015795,5971,-1
31.0,37,46.770833333236325,96422015795,5971,-1
32.0,38,46.770833333236325,96422015795,5971,-1
33.0,38,46.82291666637563,96529389977,5971,-1
34.0,36,46.82291666637563,96529389977,5971,-1
35.0,36,46.82291666637563,96529389977,5971,-1
36.0,37,46.875,96636764160,5971,-1
37.0,34,46.875,96636764160,5971,-1
39.0,32,46.92708333313931,96744138342,5971,-1
40.0,35,46.92708333313931,96744138342,5971,-1
41.0,34,46.875,96636764160,5971,-1
42.0,32,46.92708333313931,96744138342,5971,-1
43.0,32,46.92708333313931,96744138342,5971,-1
44.0,34,46.979166666278616,96851512524,5971,-1
45.0,34,46.979166666278616,96851512524,5971,-1
46.0,35,46.979166666278616,96851512524,5971,-1
47.0,35,47.03124999990298,96958886707,5971,-1
48.0,34,47.03124999990298,96958886707,5971,-1
49.0,33,47.03124999990298,96958886707,5971,-1
50.0,34,41.66666666666667,85899345920,5971,-1
51.0,34,41.71874999980598,86006720102,5971,-1
52.0,33,41.71874999980598,86006720102,5971,-1
53.0,34,41.77083333294529,86114094284,5971,-1
54.0,33,41.77083333294529,86114094284,5971,-1
55.0,34,41.77083333294529,86114094284,5971,-1
56.0,35,41.822916666569654,86221468467,5971,-1
57.0,28,41.822916666569654,86221468467,5971,-1
58.0,24,41.822916666569654,86221468467,5971,-1
59.0,29,41.87499999970896,86328842649,5971,-1
60.0,24,41.87499999970896,86328842649,5971,-1
61.0,28,41.87499999970896,86328842649,5971,-1
62.0,27,41.87499999970896,86328842649,5971,-1
63.0,25,41.92708333333333,86436216832,5971,-1
64.0,28,41.92708333333333,86436216832,5971,-1
65.0,24,41.92708333333333,86436216832,5971,-1
66.0,29,41.979166666472636,86543591014,5971,-1
67.0,23,41.979166666472636,86543591014,5971,-1
68.0,29,41.979166666472636,86543591014,5971,-1
69.0,23,41.979166666472636,86543591014,5971,-1
70.0,30,42.031249999611944,86650965196,5971,-1
71.0,23,42.031249999611944,86650965196,5971,-1
72.0,29,42.031249999611944,86650965196,5971,-1
73.0,24,42.031249999611944,86650965196,5971,-1
74.0,25,42.031249999611944,86650965196,5971,-1
75.0,27,42.083333333236325,86758339379,5971,-1
76.0,23,42.083333333236325,86758339379,5971,-1
77.0,30,42.083333333236325,86758339379,5971,-1
78.0,23,42.083333333236325,86758339379,5971,-1
79.0,23,42.13541666637563,86865713561,5971,-1
80.0,29,42.13541666637563,86865713561,5971,-1
81.0,23,42.13541666637563,86865713561,5971,-1
82.0,25,42.13541666637563,86865713561,5971,-1
83.0,29,42.1875,86973087744,5971,-1
84.0,23,42.1875,86973087744,5971,-1
85.0,23,42.1875,86973087744,5971,-1
87.0,29,42.1875,86973087744,5971,-1
88.0,23,42.23958333313931,87080461926,5971,-1
89.0,23,42.23958333313931,87080461926,5971,-1
90.0,26,42.23958333313931,87080461926,5971,-1
91.0,28,42.23958333313931,87080461926,5971,-1
92.0,23,42.291666666278616,87187836108,5971,-1
93.0,23,42.291666666278616,87187836108,5971,-1
94.0,23,42.291666666278616,87187836108,5971,-1
95.0,26,42.291666666278616,87187836108,5971,-1
96.0,27,42.291666666278616,87187836108,5971,-1
97.0,23,42.291666666278616,87187836108,5971,-1
98.0,24,42.291666666278616,87187836108,5971,-1
99.0,24,42.291666666278616,87187836108,5971,-1
100.0,23,42.291666666278616,87187836108,5971,-1
101.0,23,42.34374999990298,87295210291,5971,-1
102.0,23,42.34374999990298,87295210291,5971,-1
103.0,23,42.34374999990298,87295210291,5971,-1
104.0,23,42.34374999990298,87295210291,5971,-1
105.0,24,42.44791666666667,87509958656,5971,-1
106.0,24,42.44791666666667,87509958656,5971,-1
107.0,23,42.49999999980598,87617332838,5971,-1
108.0,24,42.49999999980598,87617332838,5971,-1
109.0,24,42.49999999980598,87617332838,5971,-1
110.0,24,42.49999999980598,87617332838,5971,-1
111.0,24,42.55208333294529,87724707020,5971,-1
112.0,24,42.55208333294529,87724707020,5971,-1
113.0,25,42.55208333294529,87724707020,5971,-1
114.0,23,42.812499999611944,88261577932,5971,-1
115.0,93,46.24999999990298,95348273971,5971,-1
116.0,66,46.24999999990298,95348273971,5971,-1
117.0,19,46.30208333304229,95455648153,5971,-1
118.0,18,46.30208333304229,95455648153,5971,-1
119.0,18,46.30208333304229,95455648153,5971,-1
120.0,19,46.30208333304229,95455648153,5971,-1
121.0,19,46.09375,95026151424,5971,-1
122.0,21,46.09375,95026151424,5971,-1
123.0,20,46.09375,95026151424,5971,-1
124.0,73,46.14583333313931,95133525606,5971,-1
125.0,85,46.14583333313931,95133525606,5971,-1
126.0,86,46.14583333313931,95133525606,5971,-1
127.0,86,46.14583333313931,95133525606,5971,-1
128.0,84,46.14583333313931,95133525606,5971,-1
129.0,86,46.14583333313931,95133525606,5971,-1
130.0,85,46.14583333313931,95133525606,5971,-1
131.0,85,46.14583333313931,95133525606,5971,-1
133.0,86,46.14583333313931,95133525606,5971,-1
134.0,86,46.14583333313931,95133525606,5971,-1
135.0,86,46.14583333313931,95133525606,5971,-1
136.0,85,46.14583333313931,95133525606,5971,-1
137.0,87,46.14583333313931,95133525606,5971,-1
138.0,86,46.14583333313931,95133525606,5971,-1
139.0,86,46.14583333313931,95133525606,5971,-1
140.0,87,46.14583333313931,95133525606,5971,-1
141.0,86,46.14583333313931,95133525606,5971,-1
142.0,87,46.14583333313931,95133525606,5971,-1
143.0,87,46.14583333313931,95133525606,5971,-1
144.0,86,46.14583333313931,95133525606,5971,-1
145.0,86,46.14583333313931,95133525606,5971,-1
146.0,87,46.14583333313931,95133525606,5971,-1
147.0,86,46.14583333313931,95133525606,5971,-1
148.0,87,46.14583333313931,95133525606,5971,-1
149.0,86,46.14583333313931,95133525606,5971,-1
150.0,87,46.14583333313931,95133525606,5971,-1
151.0,87,46.14583333313931,95133525606,5971,-1
152.0,88,46.09375,95026151424,5971,-1
153.0,87,46.09375,95026151424,5971,-1
154.0,87,46.09375,95026151424,5971,-1
155.0,87,46.09375,95026151424,5971,-1
156.0,83,46.09375,95026151424,5971,-1
157.0,86,46.09375,95026151424,5971,-1
158.0,87,46.09375,95026151424,5971,-1
159.0,69,46.09375,95026151424,5971,-1
160.0,12,46.30208333304229,95455648153,5971,-1
161.0,100,46.35416666666667,95563022336,5971,-1
162.0,73,46.35416666666667,95563022336,5971,-1
163.0,80,46.35416666666667,95563022336,5971,-1
164.0,84,46.30208333304229,95455648153,5971,-1
165.0,84,46.30208333304229,95455648153,5971,-1
166.0,84,46.30208333304229,95455648153,5971,-1
167.0,86,46.09375,95026151424,5971,-1
168.0,84,46.09375,95026151424,5971,-1
169.0,85,46.09375,95026151424,5971,-1
170.0,86,46.09375,95026151424,5971,-1
171.0,85,46.09375,95026151424,5971,-1
172.0,87,46.09375,95026151424,5971,-1
173.0,86,46.09375,95026151424,5971,-1
174.0,87,46.09375,95026151424,5971,-1
175.0,86,46.09375,95026151424,5971,-1
176.0,87,46.09375,95026151424,5971,-1
177.0,86,46.09375,95026151424,5971,-1
178.0,87,46.09375,95026151424,5971,-1
179.0,86,46.09375,95026151424,5971,-1
180.0,88,46.09375,95026151424,5971,-1
181.0,87,46.09375,95026151424,5971,-1
182.0,87,46.09375,95026151424,5971,-1
183.0,87,46.09375,95026151424,5971,-1
185.0,87,46.09375,95026151424,5971,-1
186.0,87,46.09375,95026151424,5971,-1
187.0,87,46.09375,95026151424,5971,-1
188.0,88,46.09375,95026151424,5971,-1
189.0,87,46.09375,95026151424,5971,-1
190.0,88,46.09375,95026151424,5971,-1
191.0,87,46.09375,95026151424,5971,-1
192.0,88,46.09375,95026151424,5971,-1
193.0,88,46.09375,95026151424,5971,-1
194.0,88,46.09375,95026151424,5971,-1
195.0,88,46.04166666637563,94918777241,5971,-1
196.0,83,46.04166666637563,94918777241,5971,-1
197.0,88,46.04166666637563,94918777241,5971,-1
198.0,88,46.04166666637563,94918777241,5971,-1
199.0,68,46.04166666637563,94918777241,5971,-1
200.0,6,46.197916666278616,95240899788,5971,-1
201.0,88,46.24999999990298,95348273971,5971,-1
202.0,58,46.24999999990298,95348273971,5971,-1
203.0,18,46.30208333304229,95455648153,5971,-1
204.0,18,46.30208333304229,95455648153,5971,-1
205.0,18,46.30208333304229,95455648153,5971,-1
206.0,17,46.30208333304229,95455648153,5971,-1
207.0,18,46.14583333313931,95133525606,5971,-1
208.0,18,46.14583333313931,95133525606,5971,-1
209.0,19,46.197916666278616,95240899788,5971,-1
