time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,15,9.32291666637563,19219978649,65214,-1
1.0,12,9.427083333139308,19434727014,65214,-1
2.0,12,9.479166666278616,19542101196,65214,-1
3.0,12,9.479166666278616,19542101196,65214,-1
4.0,12,9.479166666278616,19542101196,65214,-1
5.0,13,9.531249999902986,19649475379,65214,-1
6.0,12,9.531249999902986,19649475379,65214,-1
7.0,20,9.531249999902986,19649475379,65214,-1
7.0,20,9.531249999902986,19649475379,65214,-1
8.0,11,9.583333333042294,19756849561,65214,-1
9.0,19,9.583333333042294,19756849561,65214,-1
10.0,13,9.583333333042294,19756849561,65214,-1
11.0,12,9.583333333042294,19756849561,65214,-1
12.0,12,9.583333333042294,19756849561,65214,-1
13.0,12,9.635416666666668,19864223744,65214,-1
14.0,12,9.635416666666668,19864223744,65214,-1
15.0,12,9.635416666666668,19864223744,65214,-1
16.0,12,9.635416666666668,19864223744,65214,-1
17.0,18,9.635416666666668,19864223744,65214,-1
18.0,11,9.635416666666668,19864223744,65214,-1
