time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,10,8.489583333236322,17501991731,19553,-1
1.0,94,8.54166666637563,17609365913,19553,-1
2.0,100,8.59375,17716740096,19553,-1
3.0,91,8.59375,17716740096,19553,-1
4.0,98,8.645833333139308,17824114278,19553,-1
5.0,98,8.645833333139308,17824114278,19553,-1
6.0,94,8.645833333139308,17824114278,19553,-1
7.0,90,8.697916666278616,17931488460,19553,-1
7.0,90,8.697916666278616,17931488460,19553,-1
8.0,95,8.697916666278616,17931488460,19553,-1
9.0,98,8.697916666278616,17931488460,19553,-1
10.0,96,8.697916666278616,17931488460,19553,-1
11.0,99,8.697916666278616,17931488460,19553,-1
12.0,90,8.749999999902986,18038862643,19553,-1
13.0,82,8.697916666278616,17931488460,19553,-1
14.0,98,8.749999999902986,18038862643,19553,-1
15.0,96,8.749999999902986,18038862643,19553,-1
16.0,91,8.749999999902986,18038862643,19553,-1
17.0,96,8.749999999902986,18038862643,19553,-1
18.0,96,8.749999999902986,18038862643,19553,-1
19.0,91,8.749999999902986,18038862643,19553,-1
20.0,91,8.802083333042294,18146236825,19553,-1
21.0,96,8.802083333042294,18146236825,19553,-1
22.0,91,8.802083333042294,18146236825,19553,-1
23.0,97,8.802083333042294,18146236825,19553,-1
24.0,94,8.802083333042294,18146236825,19553,-1
25.0,99,8.802083333042294,18146236825,19553,-1
26.0,89,8.802083333042294,18146236825,19553,-1
27.0,92,8.802083333042294,18146236825,19553,-1
28.0,89,8.802083333042294,18146236825,19553,-1
29.0,94,8.802083333042294,18146236825,19553,-1
31.0,91,8.802083333042294,18146236825,19553,-1
32.0,98,8.802083333042294,18146236825,19553,-1
33.0,94,8.802083333042294,18146236825,19553,-1
34.0,98,8.802083333042294,18146236825,19553,-1
35.0,96,8.854166666666668,18253611008,19553,-1
36.0,84,8.854166666666668,18253611008,19553,-1
37.0,88,8.854166666666668,18253611008,19553,-1
38.0,93,8.854166666666668,18253611008,19553,-1
39.0,94,8.854166666666668,18253611008,19553,-1
40.0,88,8.854166666666668,18253611008,19553,-1
41.0,91,8.854166666666668,18253611008,19553,-1
42.0,99,8.854166666666668,18253611008,19553,-1
43.0,90,8.854166666666668,18253611008,19553,-1
44.0,95,8.854166666666668,18253611008,19553,-1
45.0,97,8.854166666666668,18253611008,19553,-1
46.0,94,8.854166666666668,18253611008,19553,-1
47.0,91,8.854166666666668,18253611008,19553,-1
48.0,84,8.854166666666668,18253611008,19553,-1
49.0,94,8.854166666666668,18253611008,19553,-1
50.0,90,8.854166666666668,18253611008,19553,-1
51.0,96,8.854166666666668,18253611008,19553,-1
52.0,96,8.854166666666668,18253611008,19553,-1
53.0,91,8.854166666666668,18253611008,19553,-1
54.0,94,8.854166666666668,18253611008,19553,-1
55.0,95,8.854166666666668,18253611008,19553,-1
56.0,88,8.854166666666668,18253611008,19553,-1
57.0,94,8.854166666666668,18253611008,19553,-1
58.0,94,8.854166666666668,18253611008,19553,-1
59.0,98,8.854166666666668,18253611008,19553,-1
60.0,97,8.854166666666668,18253611008,19553,-1
61.0,95,8.854166666666668,18253611008,19553,-1
62.0,92,8.854166666666668,18253611008,19553,-1
63.0,97,8.854166666666668,18253611008,19553,-1
64.0,92,8.854166666666668,18253611008,19553,-1
65.0,95,8.854166666666668,18253611008,19553,-1
66.0,90,8.854166666666668,18253611008,19553,-1
67.0,93,8.854166666666668,18253611008,19553,-1
68.0,97,8.854166666666668,18253611008,19553,-1
69.0,91,8.854166666666668,18253611008,19553,-1
70.0,95,8.854166666666668,18253611008,19553,-1
71.0,94,8.854166666666668,18253611008,19553,-1
72.0,99,8.854166666666668,18253611008,19553,-1
73.0,91,8.854166666666668,18253611008,19553,-1
74.0,99,8.854166666666668,18253611008,19553,-1
