time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,12,56.87499999961195,117252607180,12570,-1
0.0,12,56.82291666647264,117145232998,12570,-1
0.0,12,56.82291666647264,117145232998,12570,-1
0.0,12,55.46875,114353504256,12570,-1
0.0,12,55.36458333323632,114138755891,12570,-1
5.0,6,57.65624999961195,118863219916,12570,-1
5.0,6,57.70833333323632,118970594099,12570,-1
5.0,6,57.65624999961195,118863219916,12570,-1
5.0,6,57.70833333323632,118970594099,12570,-1
5.0,6,57.70833333323632,118970594099,12570,-1
10.0,69,57.760416666375626,119077968281,12570,-1
10.0,69,57.760416666375626,119077968281,12570,-1
10.0,69,57.8125,119185342464,12570,-1
10.0,69,57.86458333313931,119292716646,12570,-1
10.0,69,57.86458333313931,119292716646,12570,-1
15.0,82,57.916666666278616,119400090828,12570,-1
15.0,82,57.916666666278616,119400090828,12570,-1
15.0,82,57.96874999990299,119507465011,12570,-1
15.0,82,57.96874999990299,119507465011,12570,-1
15.0,82,58.072916666666664,119722213376,12570,-1
20.0,80,58.072916666666664,119722213376,12570,-1
20.0,80,58.072916666666664,119722213376,12570,-1
20.0,80,58.072916666666664,119722213376,12570,-1
20.0,80,58.072916666666664,119722213376,12570,-1
20.0,80,58.0208333330423,119614839193,12570,-1
25.0,90,58.072916666666664,119722213376,12570,-1
25.0,90,58.072916666666664,119722213376,12570,-1
25.0,90,58.12499999980597,119829587558,12570,-1
25.0,90,58.12499999980597,119829587558,12570,-1
25.0,90,58.17708333294528,119936961740,12570,-1
30.0,70,58.17708333294528,119936961740,12570,-1
30.0,70,58.229166666569654,120044335923,12570,-1
30.0,70,58.229166666569654,120044335923,12570,-1
30.0,70,58.333333333333336,120259084288,12570,-1
30.0,70,58.28124999970896,120151710105,12570,-1
35.0,80,58.28124999970896,120151710105,12570,-1
35.0,80,58.28124999970896,120151710105,12570,-1
35.0,80,58.28124999970896,120151710105,12570,-1
35.0,80,58.229166666569654,120044335923,12570,-1
35.0,80,58.229166666569654,120044335923,12570,-1
40.0,95,58.229166666569654,120044335923,12570,-1
40.0,95,58.229166666569654,120044335923,12570,-1
40.0,95,58.229166666569654,120044335923,12570,-1
40.0,95,58.28124999970896,120151710105,12570,-1
40.0,95,58.854166666666664,121332826112,12570,-1
45.0,82,58.8020833330423,121225451929,12570,-1
45.0,82,58.8020833330423,121225451929,12570,-1
45.0,82,58.8020833330423,121225451929,12570,-1
45.0,82,58.854166666666664,121332826112,12570,-1
45.0,82,58.74999999990299,121118077747,12570,-1
50.0,71,58.8020833330423,121225451929,12570,-1
50.0,71,58.8020833330423,121225451929,12570,-1
50.0,71,58.854166666666664,121332826112,12570,-1
50.0,71,58.854166666666664,121332826112,12570,-1
50.0,71,58.854166666666664,121332826112,12570,-1
55.0,68,58.854166666666664,121332826112,12570,-1
55.0,68,58.90624999980597,121440200294,12570,-1
55.0,68,58.90624999980597,121440200294,12570,-1
55.0,68,58.90624999980597,121440200294,12570,-1
55.0,68,58.90624999980597,121440200294,12570,-1
60.0,57,59.06249999970896,121762322841,12570,-1
60.0,57,59.06249999970896,121762322841,12570,-1
60.0,57,58.95833333294528,121547574476,12570,-1
60.0,57,58.95833333294528,121547574476,12570,-1
60.0,57,58.95833333294528,121547574476,12570,-1
65.0,91,58.95833333294528,121547574476,12570,-1
65.0,91,58.854166666666664,121332826112,12570,-1
65.0,91,58.854166666666664,121332826112,12570,-1
65.0,91,58.854166666666664,121332826112,12570,-1
65.0,91,58.854166666666664,121332826112,12570,-1
70.0,79,58.90624999980597,121440200294,12570,-1
70.0,79,58.90624999980597,121440200294,12570,-1
70.0,79,58.90624999980597,121440200294,12570,-1
70.0,79,58.90624999980597,121440200294,12570,-1
70.0,79,59.06249999970896,121762322841,12570,-1
75.0,57,59.68749999980597,123050813030,12570,-1
75.0,57,59.479166666278616,122621316300,12570,-1
75.0,57,59.53124999990299,122728690483,12570,-1
75.0,57,59.53124999990299,122728690483,12570,-1
75.0,57,59.53124999990299,122728690483,12570,-1
80.0,61,59.42708333313931,122513942118,12570,-1
80.0,61,59.479166666278616,122621316300,12570,-1
80.0,61,59.479166666278616,122621316300,12570,-1
80.0,61,59.479166666278616,122621316300,12570,-1
80.0,61,59.479166666278616,122621316300,12570,-1
85.0,57,59.53124999990299,122728690483,12570,-1
85.0,57,59.53124999990299,122728690483,12570,-1
85.0,57,59.53124999990299,122728690483,12570,-1
85.0,57,59.53124999990299,122728690483,12570,-1
85.0,57,59.5833333330423,122836064665,12570,-1
90.0,56,59.5833333330423,122836064665,12570,-1
90.0,56,59.5833333330423,122836064665,12570,-1
90.0,56,59.5833333330423,122836064665,12570,-1
90.0,56,59.635416666666664,122943438848,12570,-1
90.0,56,59.5833333330423,122836064665,12570,-1
