time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,10,54.322916666569654,111991272243,17970,-1
0.0,10,54.21874999980597,111776523878,17970,-1
0.0,10,54.21874999980597,111776523878,17970,-1
0.0,10,54.21874999980597,111776523878,17970,-1
0.0,10,54.21874999980597,111776523878,17970,-1
0.0,10,54.166666666666664,111669149696,17970,-1
0.0,10,54.166666666666664,111669149696,17970,-1
0.0,10,54.166666666666664,111669149696,17970,-1
0.0,10,53.854166666375626,111024904601,17970,-1
0.0,10,53.854166666375626,111024904601,17970,-1
5.0,5,54.37499999970896,112098646425,17970,-1
5.0,5,53.645833333333336,110595407872,17970,-1
5.0,5,53.59374999970896,110488033689,17970,-1
5.0,5,53.59374999970896,110488033689,17970,-1
5.0,5,53.59374999970896,110488033689,17970,-1
5.0,5,53.59374999970896,110488033689,17970,-1
5.0,5,53.3333333330423,109951162777,17970,-1
5.0,5,53.3333333330423,109951162777,17970,-1
5.0,5,52.39583333313931,108018427494,17970,-1
5.0,5,51.24999999970896,105656195481,17970,-1
10.0,14,51.24999999970896,105656195481,17970,-1
10.0,14,51.197916666569654,105548821299,17970,-1
10.0,14,50.62499999961195,104367705292,17970,-1
10.0,14,50.62499999961195,104367705292,17970,-1
10.0,14,52.864583333333336,108984795136,17970,-1
10.0,14,52.864583333333336,108984795136,17970,-1
10.0,14,52.18749999961195,107588930764,17970,-1
10.0,14,52.23958333323632,107696304947,17970,-1
10.0,14,52.23958333323632,107696304947,17970,-1
10.0,14,52.23958333323632,107696304947,17970,-1
15.0,21,52.49999999990299,108233175859,17970,-1
15.0,21,53.3333333330423,109951162777,17970,-1
15.0,21,54.37499999970896,112098646425,17970,-1
15.0,21,54.47916666647264,112313394790,17970,-1
15.0,21,54.791666666278616,112957639884,17970,-1
15.0,21,54.791666666278616,112957639884,17970,-1
15.0,21,54.791666666278616,112957639884,17970,-1
15.0,21,54.791666666278616,112957639884,17970,-1
15.0,21,54.635416666375626,112635517337,17970,-1
20.0,13,54.6875,112742891520,17970,-1
