time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0,1.9775390625,679477248,41000,48
0.6277377605438232,92,2.9541015625,1015021568,46000,61
1.2021348476409912,97,2.9541015625,1015021568,67000,68
1.7900018692016602,92,2.9541015625,1015021568,90000,69
2.363985300064087,92,2.9541015625,1015021568,113000,71
2.938023805618286,97,2.9541015625,1015021568,137000,71
3.5134756565093994,94,2.9541015625,1015021568,154000,72
4.099632024765015,93,2.9541015625,1015021568,153000,68
4.677236557006836,89,2.9541015625,1015021568,148000,68
5.256656646728516,94,2.9541015625,1015021568,143000,69
5.8311607837677,94,2.9541015625,1015021568,141000,73
6.410845756530762,96,2.9541015625,1015021568,142000,73
6.9881627559661865,97,2.9541015625,1015021568,145000,74
7.5650153160095215,92,2.9541015625,1015021568,151000,74
8.142984390258789,100,2.9541015625,1015021568,152000,70
8.712324619293213,85,2.9541015625,1015021568,148000,70
9.293509721755981,89,2.9541015625,1015021568,143000,70
9.867926120758057,95,2.9541015625,1015021568,142000,75
10.453049659729004,91,2.9541015625,1015021568,142000,75
11.031678915023804,94,2.9541015625,1015021568,146000,76
11.607759237289429,95,2.9541015625,1015021568,151000,76
12.183636665344238,98,2.9541015625,1015021568,153000,72
12.764134168624878,87,2.9541015625,1015021568,149000,72
13.33738374710083,93,2.9541015625,1015021568,144000,72
13.910619020462036,95,2.9541015625,1015021568,141000,75
14.487312078475952,94,2.9541015625,1015021568,141000,76
15.069282293319702,95,2.9541015625,1015021568,145000,77
15.646103382110596,94,2.9541015625,1015021568,150000,77
16.22511124610901,88,2.9541015625,1015021568,153000,74
16.802045106887817,96,2.9541015625,1015021568,149000,71
17.381263256072998,92,2.9541015625,1015021568,142000,73
17.960405588150024,97,2.9541015625,1015021568,140000,77
18.5382661819458,90,2.9541015625,1015021568,140000,79
19.107033252716064,95,2.9541015625,1015021568,143000,79
19.691850662231445,94,2.9541015625,1015021568,150000,79
20.27202844619751,84,2.9541015625,1015021568,154000,76
20.83739686012268,90,2.9541015625,1015021568,152000,75
21.413163661956787,91,2.9541015625,1015021568,146000,75
21.987908601760864,95,2.9541015625,1015021568,142000,77
22.563783168792725,91,2.9541015625,1015021568,142000,79
23.14315891265869,90,2.9541015625,1015021568,144000,79
23.71814799308777,94,2.9541015625,1015021568,149000,80
24.296489238739014,100,2.9541015625,1015021568,153000,77
24.872385501861572,97,2.9541015625,1015021568,152000,75
25.45064425468445,95,2.9541015625,1015021568,145000,74
26.026572704315186,94,2.9541015625,1015021568,140000,78
26.60436725616455,95,2.9541015625,1015021568,140000,80
27.185236930847168,95,2.9541015625,1015021568,142000,81
27.759740829467773,88,2.9541015625,1015021568,148000,81
28.342422246932983,95,2.9541015625,1015021568,154000,80
28.919373989105225,90,2.9541015625,1015021568,153000,76
29.49551486968994,95,2.9541015625,1015021568,146000,76
30.070892095565796,95,2.9541015625,1015021568,140000,78
30.64542245864868,92,2.9541015625,1015021568,139000,81
31.222177743911743,92,2.9541015625,1015021568,140000,82
31.79792308807373,92,2.9541015625,1015021568,146000,83
32.374489068984985,89,2.9541015625,1015021568,153000,82
32.94908094406128,96,2.9541015625,1015021568,154000,77
33.52713489532471,100,2.9541015625,1015021568,148000,76
34.10674810409546,91,2.9541015625,1015021568,141000,78
34.681323528289795,92,2.9541015625,1015021568,139000,82
35.26120638847351,92,2.9541015625,1015021568,139000,83
35.83863687515259,91,2.9541015625,1015021568,145000,83
36.415428161621094,92,2.9541015625,1015021568,153000,84
36.98992562294006,88,2.9541015625,1015021568,154000,78
37.55909562110901,93,2.9541015625,1015021568,149000,77
38.13779902458191,96,2.9541015625,1015021568,142000,78
38.72588634490967,90,2.9541015625,1015021568,139000,83
39.3011953830719,94,2.9541015625,1015021568,139000,83
39.878092527389526,94,2.9541015625,1015021568,144000,85
40.45587491989136,95,2.9541015625,1015021568,151000,84
41.03623700141907,92,2.9541015625,1015021568,154000,79
41.61237192153931,92,2.9541015625,1015021568,150000,79
42.192362546920776,96,2.9541015625,1015021568,143000,79
42.76867866516113,90,2.9541015625,1015021568,140000,84
43.347049713134766,95,2.9541015625,1015021568,140000,86
43.932905435562134,93,2.9541015625,1015021568,144000,85
44.496838092803955,95,2.9541015625,1015021568,151000,86
45.07413291931152,91,2.9541015625,1015021568,155000,83
45.64259052276611,95,2.9541015625,1015021568,154000,80
46.22340941429138,87,2.9541015625,1015021568,146000,79
46.7995982170105,90,2.9541015625,1015021568,141000,82
47.377522706985474,92,2.9541015625,1015021568,138000,86
47.9617817401886,90,2.9541015625,1015021568,141000,86
48.53964614868164,89,2.9541015625,1015021568,146000,87
49.12023448944092,90,2.9541015625,1015021568,153000,85
49.69653797149658,92,2.9541015625,1015021568,153000,80
50.27591061592102,91,2.9541015625,1015021568,148000,80
50.8494086265564,92,2.9541015625,1015021568,141000,82
51.4237539768219,93,2.9541015625,1015021568,138000,83
52.000521659851074,94,2.9541015625,1015021568,137000,87
52.57652568817139,92,2.9541015625,1015021568,143000,87
53.1533567905426,95,2.9541015625,1015021568,151000,88
53.72980308532715,100,2.9541015625,1015021568,154000,83
54.306102991104126,88,2.9541015625,1015021568,150000,81
54.881572246551514,92,2.9541015625,1015021568,144000,80
55.45856857299805,95,2.9541015625,1015021568,139000,84
56.032344818115234,94,2.9541015625,1015021568,137000,85
56.604819774627686,95,2.9541015625,1015021568,139000,88
57.18190312385559,98,2.9541015625,1015021568,146000,89
57.75199842453003,88,2.9541015625,1015021568,154000,89
58.33278441429138,91,2.9541015625,1015021568,158000,89
58.918513774871826,91,2.9541015625,1015021568,161000,89
59.4965078830719,87,2.9541015625,1015021568,162000,90
60.07081580162048,95,2.9541015625,1015021568,162000,89
60.646246910095215,93,2.9541015625,1015021568,162000,90
61.22423338890076,89,2.9541015625,1015021568,162000,90
61.798125982284546,96,2.9541015625,1015021568,162000,90
62.3665828704834,89,2.9541015625,1015021568,161000,88
62.94558072090149,97,2.9541015625,1015021568,158000,88
63.52364492416382,90,2.9541015625,1015021568,155000,86
64.09930491447449,92,2.9541015625,1015021568,152000,88
64.67674231529236,86,2.9541015625,1015021568,149000,88
65.24983477592468,89,2.9541015625,1015021568,148000,89
65.81985378265381,97,2.9541015625,1015021568,150000,89
66.4008104801178,92,2.9541015625,1015021568,151000,88
66.9683301448822,97,2.9541015625,1015021568,151000,88
67.55215835571289,94,2.9541015625,1015021568,151000,89
68.13686776161194,94,2.9541015625,1015021568,150000,88
68.71416568756104,91,2.9541015625,1015021568,148000,89
69.2938494682312,92,2.9541015625,1015021568,148000,88
69.87021589279175,96,2.9541015625,1015021568,150000,90
70.44539785385132,91,2.9541015625,1015021568,150000,89
71.02820324897766,100,2.9541015625,1015021568,150000,89
71.60449051856995,94,2.9541015625,1015021568,150000,89
72.18375062942505,92,2.9541015625,1015021568,150000,89
72.75848937034607,91,2.9541015625,1015021568,149000,90
73.3347852230072,88,2.9541015625,1015021568,149000,90
73.91026067733765,90,2.9541015625,1015021568,149000,89
74.47823190689087,93,2.9541015625,1015021568,148000,90
75.06067657470703,88,2.9541015625,1015021568,149000,90
75.63836479187012,94,2.9541015625,1015021568,149000,89
76.21475410461426,87,2.9541015625,1015021568,149000,90
76.79096460342407,98,2.9541015625,1015021568,149000,90
77.37380003929138,100,2.9541015625,1015021568,149000,90
77.95303225517273,94,2.9541015625,1015021568,149000,90
78.5335111618042,91,2.9541015625,1015021568,149000,90
79.09752535820007,96,2.9541015625,1015021568,148000,89
79.67395114898682,89,2.9541015625,1015021568,146000,88
80.25002789497375,100,2.9541015625,1015021568,143000,88
80.8266487121582,93,2.9541015625,1015021568,141000,88
81.4077513217926,89,2.9541015625,1015021568,138000,88
81.98239135742188,95,2.9541015625,1015021568,137000,89
82.55084323883057,91,2.9541015625,1015021568,139000,90
83.12672019004822,88,2.9541015625,1015021568,140000,88
83.70401453971863,87,2.9541015625,1015021568,140000,89
84.27767181396484,90,2.9541015625,1015021568,140000,88
84.85542392730713,88,2.9541015625,1015021568,140000,89
85.4359803199768,90,2.9541015625,1015021568,138000,88
86.01549935340881,95,2.9541015625,1015021568,137000,88
86.59004259109497,96,2.9541015625,1015021568,139000,90
87.1633632183075,95,2.9541015625,1015021568,139000,89
87.74997472763062,90,2.9541015625,1015021568,139000,88
88.3203125,95,2.9541015625,1015021568,139000,89
88.88573718070984,88,2.9541015625,1015021568,139000,89
89.47263622283936,86,2.9541015625,1015021568,137000,89
90.05384516716003,95,2.9541015625,1015021568,137000,89
90.62861943244934,89,2.9541015625,1015021568,137000,88
91.20252275466919,100,2.9541015625,1015021568,137000,89
91.77842664718628,100,2.9541015625,1015021568,137000,89
92.35550475120544,89,2.9541015625,1015021568,137000,89
92.92784094810486,94,2.9541015625,1015021568,137000,89
93.50972414016724,91,2.9541015625,1015021568,137000,89
94.08439779281616,93,2.9541015625,1015021568,137000,89
94.65102052688599,88,2.9541015625,1015021568,137000,90
95.21874952316284,95,2.9541015625,1015021568,137000,90
95.79150128364563,90,2.9541015625,1015021568,137000,90
96.36575150489807,98,2.9541015625,1015021568,137000,89
96.96061134338379,92,2.9541015625,1015021568,138000,90
97.53700351715088,92,2.9541015625,1015021568,138000,90
98.12011456489563,90,2.9541015625,1015021568,137000,90
98.69082427024841,95,2.9541015625,1015021568,138000,90
99.27267694473267,95,2.9541015625,1015021568,138000,90
99.85010647773743,97,2.9541015625,1015021568,137000,90
100.42167329788208,83,2.9541015625,1015021568,137000,90
101.00082850456238,92,2.9541015625,1015021568,137000,90
101.56278824806213,94,2.9541015625,1015021568,137000,89
102.14444017410278,88,2.9541015625,1015021568,136000,88
102.72162747383118,90,2.9541015625,1015021568,134000,88
103.29884457588196,97,2.9541015625,1015021568,133000,88
103.87265658378601,84,2.9541015625,1015021568,131000,88
104.44739103317261,89,2.9541015625,1015021568,128000,88
105.02631449699402,85,2.9541015625,1015021568,130000,90
105.5904598236084,97,2.9541015625,1015021568,132000,90
106.17256164550781,94,2.9541015625,1015021568,133000,89
106.75251579284668,97,2.9541015625,1015021568,133000,89
107.34104418754578,94,2.9541015625,1015021568,133000,87
107.92147922515869,93,2.9541015625,1015021568,132000,88
108.50782656669617,84,2.9541015625,1015021568,130000,89
109.09113335609436,89,2.9541015625,1015021568,129000,89
109.67814421653748,95,2.9541015625,1015021568,130000,90
110.2593309879303,87,2.9541015625,1015021568,131000,89
110.83725166320801,89,2.9541015625,1015021568,131000,88
111.40939021110535,88,2.9541015625,1015021568,131000,89
111.99523162841797,94,2.9541015625,1015021568,131000,89
112.57006788253784,90,2.9541015625,1015021568,129000,88
113.1427390575409,89,2.9541015625,1015021568,129000,90
113.72116088867188,95,2.9541015625,1015021568,130000,90
114.29763650894165,94,2.9541015625,1015021568,130000,89
114.87435531616211,89,2.9541015625,1015021568,130000,89
115.45145010948181,93,2.9541015625,1015021568,130000,89
116.03199744224548,93,2.9541015625,1015021568,130000,89
116.60867214202881,92,2.9541015625,1015021568,129000,89
117.18372058868408,91,2.9541015625,1015021568,129000,89
117.76384902000427,94,2.9541015625,1015021568,129000,89
118.3420922756195,95,2.9541015625,1015021568,129000,90
118.92160224914551,89,2.9541015625,1015021568,128000,89
119.4982647895813,95,2.9541015625,1015021568,128000,88
120.0782151222229,87,2.9541015625,1015021568,128000,89
120.65524244308472,96,2.9541015625,1015021568,129000,89
121.23451948165894,92,2.9541015625,1015021568,129000,89
121.81035661697388,90,2.9541015625,1015021568,129000,89
122.39311480522156,92,2.9541015625,1015021568,129000,89
122.97484230995178,92,2.9541015625,1015021568,129000,90
123.55037713050842,92,2.9541015625,1015021568,129000,90
124.13026690483093,90,2.9541015625,1015021568,129000,90
124.70727777481079,97,2.9541015625,1015021568,129000,90
125.2735664844513,97,2.9541015625,1015021568,129000,90
125.83961510658264,92,2.9541015625,1015021568,129000,90
126.41538047790527,89,2.9541015625,1015021568,129000,90
126.99178671836853,94,2.9541015625,1015021568,129000,90
127.56661057472229,90,2.9541015625,1015021568,129000,90
128.14412784576416,98,2.9541015625,1015021568,129000,90
128.72319769859314,90,2.9541015625,1015021568,129000,90
129.30141472816467,92,2.9541015625,1015021568,129000,89
129.88027811050415,92,2.9541015625,1015021568,129000,89
130.45508575439453,96,2.9541015625,1015021568,129000,90
131.035893201828,90,2.9541015625,1015021568,129000,90
131.61168122291565,90,2.9541015625,1015021568,129000,89
132.18913984298706,83,2.9541015625,1015021568,129000,90
132.76976537704468,87,2.9541015625,1015021568,129000,90
133.3473937511444,95,2.9541015625,1015021568,129000,90
133.92419147491455,93,2.9541015625,1015021568,129000,90
134.5004584789276,92,2.9541015625,1015021568,129000,90
135.08160066604614,93,2.9541015625,1015021568,128000,89
135.65328788757324,91,2.9541015625,1015021568,126000,88
136.2297785282135,93,2.9541015625,1015021568,125000,88
136.80651021003723,95,2.9541015625,1015021568,123000,88
137.37660336494446,94,2.9541015625,1015021568,121000,88
137.95127296447754,100,2.9541015625,1015021568,120000,90
138.52707743644714,93,2.9541015625,1015021568,122000,90
