time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0,0.7232666015625,248512512,63200,26
0.8852784633636475,0,46.7559814453125,16065232896,63200,26
1.8256645202636719,0,46.7559814453125,16065232896,63200,26
2.709049701690674,0,46.7559814453125,16065232896,63200,26
3.6470913887023926,0,52.2491455078125,17952669696,63300,26
4.588608741760254,0,52.2491455078125,17952669696,63300,26
5.519271612167358,0,52.2491455078125,17952669696,63200,26
6.405396223068237,0,52.2491455078125,17952669696,63200,26
7.285103797912598,0,52.2491455078125,17952669696,63200,26
8.219703435897827,4,52.2491455078125,17952669696,63200,26
9.156121253967285,0,52.2491455078125,17952669696,63200,26
10.041323184967041,1,52.2552490234375,17954766848,63300,26
11.010226726531982,0,52.2552490234375,17954766848,63300,26
11.943339586257935,0,52.2552490234375,17954766848,63200,26
12.824851512908936,0,52.2552490234375,17954766848,63200,26
13.758922576904297,0,52.2552490234375,17954766848,63000,26
14.696732759475708,10,52.2552490234375,17954766848,63000,26
15.636902809143066,10,59.5733642578125,20469252096,175300,26
16.578439712524414,0,59.5733642578125,20469252096,175300,26
17.519545793533325,0,59.5733642578125,20469252096,64500,26
18.449978351593018,82,59.5733642578125,20469252096,64500,26
19.341055631637573,11,59.5733642578125,20469252096,64500,26
20.14045786857605,0,59.5733642578125,20469252096,148300,28
21.07045078277588,0,59.5733642578125,20469252096,148300,28
21.958987712860107,3,59.5733642578125,20469252096,63400,26
22.90238642692566,0,59.5733642578125,20469252096,63400,26
23.84373712539673,20,59.5733642578125,20469252096,64700,26
24.780920028686523,35,59.5733642578125,20469252096,64700,26
25.72855305671692,35,59.5733642578125,20469252096,64599,30
26.61992883682251,18,59.5733642578125,20469252096,64599,30
27.509151935577393,18,59.5733642578125,20469252096,64599,27
28.391417503356934,0,59.5733642578125,20469252096,63500,27
29.330002069473267,0,59.5733642578125,20469252096,63500,27
30.25896382331848,27,59.5733642578125,20469252096,63300,27
31.188729524612427,88,59.5733642578125,20469252096,63300,27
32.122597217559814,38,59.5733642578125,20469252096,149200,33
33.05792307853699,99,59.5733642578125,20469252096,149200,33
33.95837998390198,0,59.5733642578125,20469252096,63500,30
34.891289949417114,0,59.5733642578125,20469252096,63500,30
35.83001160621643,35,59.5733642578125,20469252096,63400,30
36.75851631164551,35,59.5733642578125,20469252096,63400,30
37.688881397247314,35,59.5733642578125,20469252096,64500,31
38.54544162750244,51,59.5733642578125,20469252096,64500,31
39.43042039871216,51,59.5733642578125,20469252096,64500,31
40.31861352920532,0,59.5733642578125,20469252096,63500,32
41.25270462036133,0,59.5733642578125,20469252096,63500,32
42.143683671951294,45,59.5733642578125,20469252096,63300,32
43.111226081848145,50,59.5733642578125,20469252096,63300,32
44.0551700592041,99,59.5733642578125,20469252096,134300,30
44.994081020355225,3,59.5733642578125,20469252096,134300,30
45.88916301727295,0,59.5733642578125,20469252096,148600,27
46.82221484184265,0,59.5733642578125,20469252096,148600,27
47.76895189285278,13,59.5733642578125,20469252096,63400,27
48.66225862503052,0,59.5733642578125,20469252096,63400,27
49.61082363128662,0,59.5733642578125,20469252096,182300,27
50.50384044647217,3,59.5733642578125,20469252096,182300,27
51.399598598480225,28,59.5733642578125,20469252096,182300,27
52.294386863708496,0,59.5733642578125,20469252096,137800,27
53.23898673057556,0,59.5733642578125,20469252096,137800,27
54.1864013671875,82,59.5733642578125,20469252096,63500,27
55.0728862285614,17,59.5733642578125,20469252096,63500,27
56.00976085662842,67,59.5733642578125,20469252096,64599,27
56.949360609054565,58,59.5733642578125,20469252096,64599,27
57.791264295578,0,59.5733642578125,20469252096,63500,36
58.74288511276245,0,59.5733642578125,20469252096,63500,36
59.641353607177734,0,59.5733642578125,20469252096,63400,36
60.53155565261841,25,59.5733642578125,20469252096,63400,36
61.47152137756348,25,59.5733642578125,20469252096,63400,32
62.3809916973114,0,59.5733642578125,20469252096,143300,32
63.31817698478699,0,59.5733642578125,20469252096,143300,32
64.25982689857483,0,59.5733642578125,20469252096,63500,28
65.19969892501831,0,59.5733642578125,20469252096,63500,28
66.13060259819031,86,59.5733642578125,20469252096,63500,28
67.08174014091492,0,59.5733642578125,20469252096,63500,28
68.02014684677124,81,59.5733642578125,20469252096,64599,27
68.96140670776367,28,59.5733642578125,20469252096,64599,27
69.84896683692932,0,59.5733642578125,20469252096,130800,30
70.80329704284668,0,59.5733642578125,20469252096,130800,30
71.75015163421631,0,59.5733642578125,20469252096,63300,30
72.64491081237793,0,59.5733642578125,20469252096,63300,30
73.57929539680481,0,59.5733642578125,20469252096,182000,27
74.51011323928833,3,59.5733642578125,20469252096,182000,27
75.43889021873474,14,59.5733642578125,20469252096,182000,27
76.38023567199707,0,59.5733642578125,20469252096,63500,33
77.31890344619751,0,59.5733642578125,20469252096,63500,33
78.26103186607361,99,59.5733642578125,20469252096,63500,33
