time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0.0,46.120645548179155,3227104,0,37.5
0.5120851993560791,0.0,46.120645548179155,3227104,0,37.5
1.0361690521240234,0.0,46.395159589155035,3246312,123,37.5
1.5394923686981201,0.0,46.395159589155035,3246312,123,37.5
2.042919635772705,15.2,48.75379657720664,3411348,0,37.5
2.5456700325012207,15.2,48.75379657720664,3411348,0,37.5
3.050049304962158,93.4,51.452860702703354,3600204,1427,39.0
3.5579028129577637,93.4,51.452860702703354,3600204,1427,39.0
4.060349464416504,99.6,51.44565771037454,3599700,5726,40.0
4.563056468963623,99.6,51.44565771037454,3599700,5726,40.0
5.071040153503418,93.6,51.44565771037454,3599700,5993,40.0
5.577011823654175,93.6,51.44565771037454,3599700,5993,40.0
6.07982325553894,93.0,51.452860702703354,3600204,5726,40.0
6.584364891052246,93.0,51.452860702703354,3600204,5726,40.0
7.088552713394165,98.7,51.45634786565619,3600448,5482,40.0
7.591124773025513,98.7,51.45634786565619,3600448,5482,40.0
8.094023704528809,92.5,51.44914487332738,3599944,5645,40.0
8.59827733039856,92.5,51.44914487332738,3599944,5645,40.0
9.105467319488525,93.0,51.438340384834156,3599188,5500,40.5
9.607593774795532,93.0,51.438340384834156,3599188,5500,40.5
10.110561609268188,99.6,51.43828321822838,3599184,5459,40.0
10.613866090774536,99.6,51.43828321822838,3599184,5459,40.0
11.117469072341919,99.6,51.43468172206397,3598932,5418,40.5
11.619767189025879,99.6,51.43468172206397,3598932,5418,40.5
12.122356176376343,93.7,51.407641917528025,3597040,5459,40.5
12.625479459762573,93.7,51.407641917528025,3597040,5459,40.5
13.12731385231018,99.6,51.450859871500896,3600064,5500,40.5
13.629329681396484,99.6,51.450859871500896,3600064,5500,40.5
14.134180068969727,99.6,51.4472583753365,3599812,5418,40.5
14.636389017105103,99.6,51.4472583753365,3599812,5418,40.5
15.13866114616394,94.6,51.44005538300769,3599308,5500,41.0
15.640733003616333,94.6,51.44005538300769,3599308,5500,41.0
16.142717123031616,99.6,51.45806286382971,3600568,5377,41.0
16.644760370254517,99.6,51.45806286382971,3600568,5377,41.0
17.146823406219482,99.6,51.45434703445374,3600308,5377,41.0
17.652843713760376,99.6,51.45434703445374,3600308,5377,41.0
18.159532070159912,99.5,51.45434703445374,3600308,5604,41.0
18.661503076553345,99.5,51.45434703445374,3600308,5604,41.0
19.16438913345337,95.3,51.4327380574673,3598796,5377,41.0
