time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,7.5,42.2536676665106,2956528,0,38.5
0.5083820819854736,7.5,42.2536676665106,2956528,0,38.5
1.026780366897583,0.0,42.69116370057733,2987140,0,38.5
1.5289185047149658,0.0,42.69116370057733,2987140,0,38.5
2.0320534706115723,4.5,45.35787152720015,3173732,41,38.5
2.5348596572875977,4.5,45.35787152720015,3173732,41,38.5
3.046107769012451,4.5,45.35787152720015,3173732,41,38.5
3.553696632385254,99.6,49.57888219849046,3469080,770,39.0
4.057002067565918,99.5,49.92433999724457,3493252,2754,39.5
4.580167531967163,99.5,49.92433999724457,3493252,2754,39.5
5.400179147720337,0.0,49.92794149340898,3493504,2030,39.0
5.906619548797607,0.0,49.92794149340898,3493504,2030,39.0
6.412794828414917,98.6,49.92794149340898,3493504,2590,39.5
6.965212821960449,98.6,49.92794149340898,3493504,2590,39.5
7.493544578552246,12.4,49.92794149340898,3493504,3190,40.0
8.042808771133423,99.5,49.86591572613309,3489164,2836,40.0
8.570683002471924,99.5,49.86591572613309,3489164,2836,40.0
9.136219501495361,0.0,49.88392320695512,3490424,3040,39.5
9.68727159500122,0.0,49.88392320695512,3490424,3040,39.5
10.233335018157959,99.4,49.90913368010597,3492188,2918,40.0
10.740034818649292,99.4,49.90913368010597,3492188,2918,40.0
11.242241382598877,0.0,49.90187352117137,3491680,3231,40.0
11.756365537643433,0.0,49.90187352117137,3491680,3231,40.0
12.281075716018677,99.5,49.91256367645302,3492428,2958,40.0
12.7869131565094,99.5,49.91256367645302,3492428,2958,40.0
13.31793999671936,55.6,49.919881001993396,3492940,2877,39.5
13.9201819896698,55.6,49.919881001993396,3492940,2877,39.5
14.434542417526245,0.0,49.916165172617426,3492680,3163,40.0
14.940112590789795,0.0,49.916165172617426,3492680,3163,40.0
15.461550951004028,99.5,49.92336816494623,3493184,2958,40.0
16.014514446258545,99.5,49.92336816494623,3493184,2958,40.0
16.562523365020752,0.0,49.90896218028861,3492176,2795,40.0
17.067885398864746,99.5,49.92336816494623,3493184,3040,40.0
17.576051712036133,99.5,49.92336816494623,3493184,3040,40.0
