time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0.0,33.321385512724426,2331528,0,38.5
0.5135769844055176,0.0,33.321385512724426,2331528,0,38.5
1.0156400203704834,62.0,34.43419066092028,2409392,-780,38.5
1.5183873176574707,62.0,34.43419066092028,2409392,-780,38.5
2.0213699340820312,10.7,34.46540362767847,2411576,-1108,38.5
2.5245378017425537,10.7,34.46540362767847,2411576,-1108,38.5
3.0275049209594727,8.3,36.74389303442058,2571004,-1386,38.5
3.5304465293884277,8.3,36.74389303442058,2571004,-1386,38.5
4.033681154251099,7.7,39.54654304959832,2767108,-1386,38.5
4.536572217941284,7.7,39.54654304959832,2767108,-1386,38.5
5.039994478225708,24.1,42.13407512720999,2948160,-1427,38.5
5.543747425079346,24.1,42.13407512720999,2948160,-1427,38.5
6.046163558959961,0.0,41.15452533709718,2879620,-616,38.0
6.550140619277954,0.0,41.15452533709718,2879620,-616,38.0
7.052676200866699,0.0,42.12670063506383,2947644,-1140,38.5
7.555532932281494,0.0,42.12670063506383,2947644,-1140,38.5
8.057101249694824,0.0,43.04513932359328,3011908,-1222,38.5
8.559941530227661,0.0,43.04513932359328,3011908,-1222,38.5
9.062418937683105,0.0,44.05933207681134,3082872,-1181,38.5
9.564332962036133,0.0,44.05933207681134,3082872,-1181,38.5
10.067694902420044,0.0,58.14964273729715,4068784,-985,38.5
10.571611642837524,0.0,58.14964273729715,4068784,-985,38.5
11.075317144393921,4.3,62.27244117985015,4357260,-1222,38.5
11.57941460609436,4.3,62.27244117985015,4357260,-1222,38.5
12.083258390426636,4.3,64.20472962196295,4492464,-1222,38.5
12.58786654472351,4.3,64.20472962196295,4492464,-1222,38.5
13.091695547103882,1.8,65.49852424407167,4582992,-1098,39.0
13.596490621566772,1.8,65.49852424407167,4582992,-1098,39.0
14.100963115692139,9.5,68.3059190875295,4779428,-1345,38.5
14.605804920196533,9.5,68.3059190875295,4779428,-1345,38.5
15.109350681304932,10.8,72.45004067404001,5069396,-82,39.0
15.613110303878784,10.8,72.45004067404001,5069396,-82,39.0
16.118269205093384,99.7,80.77075447914648,5651604,2008,40.0
16.621914625167847,99.7,80.77075447914648,5651604,2008,40.0
17.126240968704224,99.7,80.79247778934449,5653124,3167,40.5
17.62986660003662,99.7,80.79247778934449,5653124,3167,40.5
18.134466648101807,99.7,80.76766748243413,5651388,3045,40.5
18.637490272521973,99.7,80.76766748243413,5651388,3045,40.5
19.14001154899597,0.0,80.75949265780699,5650816,164,39.5
19.641944408416748,0.0,80.75949265780699,5650816,164,39.5
20.144463062286377,0.0,80.94739929101975,5663964,-862,39.0
20.64653515815735,0.0,80.94739929101975,5663964,-862,39.0
21.148993253707886,0.0,81.93215124225893,5732868,-821,39.0
21.651713132858276,0.0,81.93215124225893,5732868,-821,39.0
22.15425753593445,0.0,82.81514663520217,5794652,-985,39.0
22.657848358154297,0.0,82.81514663520217,5794652,-985,39.0
23.16197919845581,99.7,82.30430584591427,5758908,492,40.0
23.66506028175354,99.7,82.30430584591427,5758908,492,40.0
24.168504238128662,99.7,82.30722134280927,5759112,2799,40.5
24.672119855880737,99.7,82.30722134280927,5759112,2799,40.5
25.175621271133423,99.7,82.30047568332674,5758640,2963,40.5
25.67854595184326,99.7,82.30047568332674,5758640,2963,40.5
26.182751655578613,0.0,82.31076567236789,5759360,1217,40.0
26.68499732017517,0.0,82.31076567236789,5759360,1217,40.0
27.187143087387085,0.0,82.31248067054142,5759480,-944,39.5
27.689199447631836,0.0,82.31248067054142,5759480,-944,39.5
28.191606521606445,0.0,82.3172826654273,5759816,-1057,39.0
28.693490028381348,0.0,82.3172826654273,5759816,-1057,39.0
29.201966762542725,0.0,82.33123131723865,5760792,-1098,39.0
29.704076766967773,0.0,82.33123131723865,5760792,-1098,39.0
30.208245992660522,99.7,82.25645739687288,5755560,1873,40.5
30.710984230041504,99.7,82.25645739687288,5755560,1873,40.5
31.21615767478943,99.7,82.28435470049558,5757512,2963,41.0
31.719442129135132,99.7,82.28435470049558,5757512,2963,41.0
32.224026918411255,99.7,82.26994871583796,5756504,3004,41.0
32.728201389312744,99.7,82.26994871583796,5756504,3004,41.0
33.23026967048645,0.0,82.2494830709672,5755072,164,40.0
33.7326180934906,0.0,82.2494830709672,5755072,164,40.0
34.234758615493774,0.0,82.25257006767954,5755288,-1026,39.5
34.73694610595703,0.0,82.25257006767954,5755288,-1026,39.5
35.23891544342041,0.0,82.26989154923217,5756500,-1140,39.0
35.741310596466064,0.0,82.26989154923217,5756500,-1140,39.0
36.24567675590515,99.7,82.27869520652294,5757116,931,40.5
36.74883055686951,99.7,82.27869520652294,5757116,931,40.5
37.25346040725708,99.7,82.30367701325065,5758864,3085,41.0
37.75660467147827,99.7,82.30367701325065,5758864,3085,41.0
38.26035928726196,99.7,82.28915669538145,5757848,3167,41.0
38.76439881324768,99.7,82.28915669538145,5757848,3167,41.0
39.2676465511322,0.0,82.29270102494007,5758096,1053,40.0
39.770397901535034,0.0,82.29270102494007,5758096,1053,40.0
40.27351260185242,0.0,82.27389321163706,5756780,-862,39.5
40.77577018737793,0.0,82.27389321163706,5756780,-862,39.5
41.27801775932312,0.0,82.27755187440725,5757036,-1098,39.5
41.77996277809143,0.0,82.27755187440725,5757036,-1098,39.5
42.28280210494995,0.0,82.37919409949161,5764148,-1098,39.5
42.78515863418579,0.0,82.37919409949161,5764148,-1098,39.5
43.28909707069397,99.7,82.1559013372984,5748524,1750,40.5
43.7924325466156,99.7,82.1559013372984,5748524,1750,40.5
44.29592204093933,99.7,82.155215338029,5748476,3045,41.0
44.799663066864014,99.7,82.155215338029,5748476,3045,41.0
45.303589820861816,99.7,82.1588168341934,5748728,2963,41.0
45.80676794052124,99.7,82.1588168341934,5748728,2963,41.0
46.310901165008545,0.0,82.17167932049486,5749628,369,40.0
46.81296968460083,0.0,82.17167932049486,5749628,369,40.0
47.316219091415405,0.0,82.15241417434557,5748280,-903,40.0
47.81816363334656,0.0,82.15241417434557,5748280,-903,40.0
48.32058072090149,0.0,82.15172817507616,5748232,-1067,40.0
48.822569370269775,0.0,82.15172817507616,5748232,-1067,40.0
49.32589101791382,99.7,82.1497273438737,5748092,644,40.5
49.82901573181152,99.7,82.1497273438737,5748092,644,40.5
50.33250403404236,99.7,82.16413332853134,5749100,2881,41.0
50.835752725601196,99.7,82.16413332853134,5749100,2881,41.0
51.33927369117737,99.7,82.17493781702456,5749856,2963,41.5
51.87427258491516,99.7,82.17493781702456,5749856,2963,41.5
52.409273862838745,0.0,82.17276548600476,5749704,1176,40.5
52.922974586486816,0.0,82.17276548600476,5749704,1176,40.5
53.42960238456726,0.0,82.14726917982499,5747920,-862,40.0
53.931493282318115,0.0,82.14726917982499,5747920,-862,40.0
54.43438911437988,0.0,82.16579116009908,5749216,-944,40.0
54.939536571502686,0.0,82.16579116009908,5749216,-944,40.0
55.44526386260986,0.0,84.17691235158836,5889936,-780,40.0
55.9548544883728,0.0,84.17691235158836,5889936,-780,40.0
56.459617137908936,99.7,82.17402315133201,5749792,2595,41.0
56.968231201171875,99.7,82.17402315133201,5749792,2595,41.0
57.4732141494751,99.7,82.17762464749642,5750044,2963,41.5
57.97614121437073,99.7,82.17762464749642,5750044,2963,41.5
58.478837728500366,99.7,82.18111181044925,5750288,3045,42.0
58.981070041656494,99.7,82.18111181044925,5750288,3045,42.0
59.48428797721863,0.0,82.17711014804436,5750008,-657,40.0
59.98661780357361,0.0,82.17711014804436,5750008,-657,40.0
60.488637924194336,0.0,82.16093199860742,5748876,-985,40.0
60.99135947227478,0.0,82.16093199860742,5748876,-985,40.0
61.49327898025513,0.0,82.17093615461967,5749576,-1140,40.0
62.00314784049988,0.0,82.17093615461967,5749576,-1140,40.0
62.50821256637573,0.0,84.28798706662711,5897708,-123,40.0
63.01876664161682,0.0,84.28798706662711,5897708,-123,40.0
63.52434492111206,99.7,82.10084989592819,5744672,2922,41.5
64.03493285179138,99.7,82.10084989592819,5744672,2922,41.5
64.54162549972534,99.7,82.09364690359938,5744168,3004,42.0
65.044748544693,99.7,82.09364690359938,5744168,3004,42.0
65.54710078239441,56.8,82.09004540743497,5743916,2118,41.0
66.04917430877686,56.8,82.09004540743497,5743916,2118,41.0
66.55185794830322,0.0,82.07878358609548,5743128,-739,40.5
67.05379986763,0.0,82.08044141766322,5743244,-1057,40.0
67.55562949180603,0.0,82.08044141766322,5743244,-1057,40.0
68.05781960487366,0.0,82.0656352667651,5742208,-1098,40.0
68.56040239334106,0.0,82.0656352667651,5742208,-1098,40.0
69.06384086608887,99.7,82.0779832536145,5743072,1627,41.5
69.5673930644989,99.7,82.0779832536145,5743072,1627,41.5
70.071857213974,99.7,82.09593356783074,5744328,2963,42.0
70.57526326179504,99.7,82.09593356783074,5744328,2963,42.0
71.07904767990112,99.7,82.11754254481718,5745840,2963,42.0
71.58281087875366,99.7,82.11754254481718,5745840,2963,42.0
72.0852210521698,0.0,82.10073556271662,5744664,287,40.5
72.5870475769043,0.0,82.10073556271662,5744664,287,40.5
73.08974075317383,0.0,82.0910172397333,5743984,-862,40.0
73.59157538414001,0.0,82.0910172397333,5743984,-862,40.0
74.09371042251587,0.0,82.09987806362986,5744604,-975,40.0
74.59620141983032,0.0,82.09987806362986,5744604,-975,40.0
75.09982895851135,0.0,82.40126040932432,5765692,-780,40.0
75.60494422912598,0.0,82.40126040932432,5765692,-780,40.0
76.10895919799805,99.7,82.02487547684095,5739356,2487,41.5
76.61284112930298,99.7,82.02487547684095,5739356,2487,41.5
77.11718559265137,99.7,82.03928146149858,5740364,3167,42.0
77.62522602081299,99.7,82.03928146149858,5740364,3167,42.0
78.12829637527466,99.7,82.03396496716064,5739992,2963,42.5
78.6312050819397,99.7,82.03396496716064,5739992,2963,42.5
79.13339257240295,0.0,82.01309915604939,5738532,-411,40.5
79.63565468788147,0.0,82.01309915604939,5738532,-411,40.5
80.13793659210205,0.0,82.01258465659734,5738496,-1016,40.5
80.6401014328003,0.0,82.01258465659734,5738496,-1016,40.5
81.14293003082275,0.0,82.03036347099624,5739740,-1016,40.5
