time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0.0,33.53621761726157,2346560,0,35.5
0.5049841403961182,0.0,33.53621761726157,2346560,0,35.5
1.0152757167816162,0.0,33.53621761726157,2346560,0,35.5
1.53456711769104,14.3,34.210040399640306,2393708,-369,35.5
2.03767991065979,0.0,34.79188211331222,2434420,-1190,35.5
2.54060435295105,0.0,34.79188211331222,2434420,-1190,35.5
3.0426862239837646,0.0,34.76438497593,2432496,-1518,35.5
3.545496702194214,0.0,34.76438497593,2432496,-1518,35.5
4.049710035324097,32.1,35.88159195277124,2510668,-1518,36.0
4.552715539932251,32.1,35.88159195277124,2510668,-1518,36.0
5.0562920570373535,15.6,38.401781768769084,2687008,-1559,36.0
5.559113025665283,15.6,38.401781768769084,2687008,-1559,36.0
6.062877416610718,7.5,40.901677439713524,2861928,-1477,36.0
6.5662009716033936,7.5,40.901677439713524,2861928,-1477,36.0
7.0689356327056885,0.0,41.368156942912854,2894568,-1641,35.5
7.572319984436035,0.0,41.368156942912854,2894568,-1641,35.5
8.0768461227417,0.0,42.69659452812683,2987520,-616,35.5
8.5801522731781,0.0,42.69659452812683,2987520,-616,35.5
9.084085941314697,2.6,43.95151585830227,3075328,-1313,36.0
9.588016510009766,2.6,43.95151585830227,3075328,-1313,36.0
10.09354305267334,8.8,45.763182762210356,3202092,-1436,36.0
10.596967935562134,8.8,45.763182762210356,3202092,-1436,36.0
11.101540803909302,15.6,46.442436372138594,3249620,-1395,36.0
11.604831218719482,15.6,46.442436372138594,3249620,-1395,36.0
12.108999013900757,0.0,48.570063106216125,3398492,-1559,35.5
12.612123012542725,0.0,48.570063106216125,3398492,-1559,35.5
13.116083860397339,3.1,50.90337528790532,3561756,-1313,36.0
13.622737169265747,3.1,50.90337528790532,3561756,-1313,36.0
14.128215789794922,47.6,57.89462250889369,4050940,685,36.5
14.632639646530151,47.6,57.89462250889369,4050940,685,36.5
15.135103940963745,1.8,61.69374362949637,4316768,-821,36.0
15.64093565940857,1.8,61.69374362949637,4316768,-821,36.0
16.142972946166992,99.7,65.69980786303796,4597076,4850,38.0
16.87347173690796,99.7,65.69980786303796,4597076,4850,38.0
17.61064887046814,99.7,66.54930362499164,4656516,3991,38.0
18.3403639793396,99.7,66.54930362499164,4656516,3991,38.0
19.070765733718872,99.7,66.55370545363702,4656824,3868,38.0
19.85453510284424,99.7,66.54450163010577,4656180,4095,38.5
20.604540824890137,99.7,66.55987944706172,4657256,3665,38.5
21.378621101379395,99.7,66.55987944706172,4657256,3665,38.5
22.108392000198364,99.7,66.74835774633233,4670444,3973,39.0
22.856358766555786,99.7,66.73115059799129,4669240,4177,39.0
23.583866119384766,99.7,66.73498076057882,4669508,3828,39.0
24.361597061157227,99.7,66.73498076057882,4669508,3828,39.0
25.094884157180786,99.7,66.7488150791786,4670476,4095,39.0
25.885951280593872,99.6,66.75264524176615,4670744,4136,39.0
26.624147176742554,99.7,66.74669991476459,4670328,3705,39.0
27.386072635650635,99.7,66.74669991476459,4670328,3705,39.0
28.115947723388672,99.7,66.75367424067026,4670816,3705,39.5
28.861016511917114,99.7,66.74492774998528,4670204,4299,39.5
29.599349975585938,99.7,66.76396422971142,4671536,3746,39.5
30.331262826919556,99.7,66.76396422971142,4671536,3746,39.5
31.05908727645874,99.6,66.76253506456682,4671436,3909,40.0
31.857766151428223,99.6,66.74407025089852,4670144,3932,39.5
32.60545611381531,99.7,66.73366592864579,4669416,3705,39.5
33.356245279312134,99.7,66.73366592864579,4669416,3705,39.5
