time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0.0,58.90021677589306,4121300,0,38.0
0.5018954277038574,0.0,58.90021677589306,4121300,0,38.0
1.005321741104126,0.0,58.90021677589306,4121300,0,38.0
1.510666847229004,0.0,59.12665383085077,4137144,359,38.0
2.0125532150268555,0.0,59.12665383085077,4137144,359,38.0
2.514880657196045,38.8,59.459592333267786,4160440,975,38.5
3.0177690982818604,38.8,59.459592333267786,4160440,975,38.5
3.5212795734405518,23.5,59.55843345117283,4167356,1414,38.5
4.024675607681274,23.5,59.55843345117283,4167356,1414,38.5
4.526618957519531,67.3,59.64738474062353,4173580,1974,39.0
5.029360294342041,67.3,59.64738474062353,4173580,1974,39.0
5.531639814376831,43.2,60.63968325108959,4243012,1373,38.5
6.033642530441284,43.2,60.63968325108959,4243012,1373,38.5
6.535788059234619,17.5,60.70348121961593,4247476,2383,39.0
7.037743330001831,17.5,60.70348121961593,4247476,2383,39.0
7.540859937667847,62.4,60.80523783608267,4254596,2547,39.0
8.04258108139038,62.4,60.80523783608267,4254596,2547,39.0
8.543997764587402,60.7,60.91162495026502,4262040,2547,39.5
9.045947313308716,60.7,60.91162495026502,4262040,2547,39.5
9.547945737838745,86.4,61.02950255877874,4270288,2819,39.5
10.049743890762329,86.4,61.02950255877874,4270288,2819,39.5
10.553651094436646,2.8,61.201002474172114,4282288,2778,39.5
11.05619764328003,2.8,61.201002474172114,4282288,2778,39.5
11.557694911956787,9.3,61.36489922664972,4293756,2900,39.5
12.060326099395752,9.3,61.36489922664972,4293756,2900,39.5
12.56393051147461,18.3,61.50507182416457,4303564,2655,39.5
13.065504550933838,18.3,61.50507182416457,4303564,2655,39.5
13.567152738571167,6.9,61.56858395949858,4308008,2737,39.5
14.068934917449951,6.9,61.56858395949858,4308008,2737,39.5
14.571815252304077,5.0,61.591164781692044,4309588,2778,39.5
15.077793836593628,1.7,61.61180193817771,4311032,2097,39.5
15.579925060272217,1.7,61.61180193817771,4311032,2097,39.5
16.082566499710083,1.7,61.61180193817771,4311032,2097,39.5
16.58426833152771,46.4,61.658621415080106,4314308,2588,40.0
17.086477518081665,82.4,61.690920565812526,4316568,2819,40.0
17.58819556236267,82.4,61.690920565812526,4316568,2819,40.0
18.090044736862183,82.4,61.690920565812526,4316568,2819,40.0
18.592536211013794,8.0,61.791419516233034,4323600,2301,40.0
19.094146013259888,12.2,61.838010326581575,4326860,2941,40.0
19.597447395324707,12.2,61.838010326581575,4326860,2941,40.0
20.099205255508423,12.2,61.838010326581575,4326860,2941,40.0
20.60325050354004,99.0,61.91175529020072,4332020,3105,40.0
21.108118057250977,99.0,61.91175529020072,4332020,3105,40.0
21.61508822441101,12.1,62.00059224637449,4338236,3105,40.5
22.12251877784729,12.1,62.00059224637449,4338236,3105,40.5
22.62812113761902,57.4,62.13396201391207,4347568,3145,40.0
23.130274057388306,22.4,62.20730681106197,4352700,3186,40.5
23.632091999053955,22.4,62.20730681106197,4352700,3186,40.5
24.134331703186035,42.1,62.218682972116405,4353496,3268,40.5
24.63618278503418,42.1,62.218682972116405,4353496,3268,40.5
25.139034509658813,99.0,62.274477611257716,4357400,3064,40.5
25.641988039016724,99.0,62.274477611257716,4357400,3064,40.5
