time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0.0,95.8590773761885,6707344,0,38.0
0.5266518592834473,0.0,95.8590773761885,6707344,0,38.0
1.0322978496551514,0.0,95.71747561271204,6697436,656,38.0
1.6366267204284668,0.0,95.71747561271204,6697436,656,38.0
2.1565909385681152,0.0,95.54717619672641,6685520,656,38.0
2.6773221492767334,0.0,95.54717619672641,6685520,656,38.0
3.1833107471466064,23.7,95.43507241869762,6677676,738,38.0
3.6894006729125977,23.7,95.43507241869762,6677676,738,38.0
4.193059206008911,23.7,95.43507241869762,6677676,738,38.0
4.700103282928467,0.0,96.29074266323362,6737548,328,38.5
5.217404365539551,0.0,96.29074266323362,6737548,328,38.5
5.73007345199585,0.0,96.26033001157053,6735420,-124,38.0
6.233105659484863,0.0,95.56135352306559,6686512,164,38.0
6.735449552536011,0.0,95.56135352306559,6686512,164,38.0
7.23837947845459,0.0,95.07858126123324,6652732,-41,38.0
7.741492509841919,0.0,95.07858126123324,6652732,-41,38.0
8.243719339370728,0.0,94.86529253312234,6637808,164,38.5
8.747798919677734,0.0,94.86529253312234,6637808,164,38.5
9.24956488609314,16.2,94.09811624492932,6584128,656,38.5
9.787152290344238,16.2,94.09811624492932,6584128,656,38.5
10.307502746582031,85.6,94.20844785716572,6591848,902,38.5
10.828840494155884,85.6,94.20844785716572,6591848,902,38.5
11.34621810913086,33.8,94.2979136463626,6598108,1177,39.0
11.858533382415771,33.8,94.2979136463626,6598108,1177,39.0
12.364258527755737,10.3,94.6397129777416,6622024,1013,39.0
12.885029792785645,10.3,94.6397129777416,6622024,1013,39.0
13.388921737670898,28.3,94.9046231803859,6640560,1013,39.0
13.891786098480225,28.3,94.9046231803859,6640560,1013,39.0
14.395863771438599,77.8,94.9538436561038,6644004,1136,39.0
14.90160584449768,77.8,94.9538436561038,6644004,1136,39.0
15.411840677261353,30.0,94.99317430336734,6646756,1013,39.0
15.923842191696167,30.0,94.99317430336734,6646756,1013,39.0
16.428855419158936,21.2,94.90119318207803,6640320,931,39.0
16.934499979019165,21.2,94.90119318207803,6640320,931,39.0
17.436705827713013,31.1,94.5888918361467,6618468,1218,39.0
17.938682317733765,31.1,94.5888918361467,6618468,1218,39.0
18.440654516220093,69.1,94.69093428580575,6625608,1300,39.5
18.94736623764038,69.1,94.69093428580575,6625608,1300,39.5
19.450838327407837,26.6,94.77148207940218,6631244,1218,39.0
19.953834295272827,26.6,94.77148207940218,6631244,1218,39.0
20.455540418624878,70.2,94.81532889110441,6634312,1300,39.5
20.957343578338623,70.2,94.81532889110441,6634312,1300,39.5
21.459418773651123,12.9,94.87626852770752,6638576,931,39.0
21.967288970947266,12.9,94.87626852770752,6638576,931,39.0
22.470821619033813,26.3,94.93252049995655,6642512,849,39.5
22.97297477722168,26.3,94.93252049995655,6642512,849,39.5
23.47499966621399,17.9,94.94149566219548,6643140,1218,39.5
23.976648807525635,17.9,94.94149566219548,6643140,1218,39.5
24.478761196136475,51.0,94.96098948591185,6644504,1218,39.5
24.985595226287842,51.0,94.96098948591185,6644504,1218,39.5
25.489740133285522,19.4,94.98334164155146,6646068,1013,39.5
25.99111008644104,21.0,95.04736827663164,6650548,1586,40.0
26.493964910507202,21.0,95.04736827663164,6650548,1586,40.0
26.995037078857422,21.0,95.04736827663164,6650548,1586,40.0
27.496765851974487,30.9,95.0424519457237,6650204,1422,39.5
27.99925708770752,30.9,95.0424519457237,6650204,1422,39.5
28.501014232635498,23.0,94.8777548603076,6638680,1218,39.5
29.003575563430786,23.0,94.8777548603076,6638680,1218,39.5
29.505584001541138,37.1,94.89902084981638,6640168,849,39.5
30.007173776626587,37.1,94.89902084981638,6640168,849,39.5
30.509167671203613,16.3,94.89627685117009,6639976,1013,39.5
31.010807275772095,26.4,94.94023799614925,6643052,1422,40.0
31.513782024383545,26.4,94.94023799614925,6643052,1422,40.0
32.01525139808655,26.4,94.94023799614925,6643052,1422,40.0
32.516905784606934,37.1,94.90250801476272,6640412,1340,39.5
33.01874256134033,37.1,94.90250801476272,6640412,1340,39.5
33.52123522758484,25.2,94.91657100782497,6641396,1177,40.0
34.0231819152832,25.2,94.91657100782497,6641396,1177,40.0
34.52549624443054,99.2,94.9327491665104,6642528,1300,40.0
35.028329610824585,99.2,94.9327491665104,6642528,1300,40.0
36.136770486831665,9.2,94.95853132045788,6644332,1013,40.0
36.640440464019775,0.0,62.085256037940354,4344160,-452,39.5
37.14196753501892,26.6,53.02914583895472,3710496,931,40.0
37.64599347114563,26.6,53.02914583895472,3710496,931,40.0
38.14751434326172,31.2,53.03206133751641,3710700,1422,40.0
38.64940166473389,31.2,53.03206133751641,3710700,1422,40.0
39.15103602409363,38.1,53.03840683438597,3711144,1013,40.0
39.65472888946533,38.1,53.03840683438597,3711144,1013,40.0
40.15708899497986,16.3,53.0458956640248,3711668,1259,40.0
40.659114360809326,16.3,53.0458956640248,3711668,1259,40.0
41.161176443099976,8.1,53.06841931957981,3713244,1340,40.0
41.66288638114929,8.1,53.06841931957981,3713244,1340,40.0
42.16722249984741,15.9,53.044752331255516,3711588,1177,40.0
42.67016816139221,15.9,53.044752331255516,3711588,1177,40.0
43.17215132713318,28.1,53.06338865539493,3712892,1422,40.0
43.67467641830444,28.1,53.06338865539493,3712892,1422,40.0
44.18011736869812,36.5,53.09580213940428,3715160,1136,40.0
44.683642625808716,36.5,53.09580213940428,3715160,1136,40.0
45.1857795715332,79.9,53.25884139230491,3726568,1136,40.0
45.687745571136475,79.9,53.25884139230491,3726568,1136,40.0
46.189451456069946,36.4,53.622592712854264,3752020,1709,40.0
46.692116022109985,36.4,53.622592712854264,3752020,1709,40.0
47.19344449043274,15.4,53.91339940272296,3772368,1832,40.0
47.69505834579468,15.4,53.91339940272296,3772368,1832,40.0
48.19702506065369,72.7,54.14743962059645,3788744,1914,40.0
48.69917368888855,72.7,54.14743962059645,3788744,1914,40.0
