time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,0,40.763279554674966,18121490432,54000,37
0.501000165939331,0,40.763279554674966,18121490432,54000,37
1.001000165939331,0,40.763279554674966,18121490432,54000,37
1.502000093460083,0,40.763279554674966,18121490432,54000,37
2.002000093460083,0,40.763279554674966,18121490432,54000,37
2.503999948501587,13,54.835361826587416,24377294848,54000,37
3.005000114440918,30,67.34125860930277,29936844800,63000,37
3.505000114440918,58,68.74233418247005,30559698944,84000,37
4.00600004196167,42,68.74233418247005,30559698944,79000,37
4.506999969482422,59,69.52070950089632,30905729024,91000,37
5.006999969482422,46,69.52070950089632,30905729024,84000,37
5.508000135421753,54,69.52070950089632,30905729024,99000,37
6.009000062942505,53,74.65798660250968,33189527552,67000,37
6.509000062942505,68,74.65798660250968,33189527552,89000,37
7.009999990463257,40,74.65798660250968,33189527552,83000,37
7.511000156402588,69,74.65798660250968,33189527552,89000,37
8.011000156402588,43,74.65798660250968,33189527552,64000,37
8.51200008392334,59,74.65798660250968,33189527552,69000,37
9.013000011444092,54,74.65798660250968,33189527552,67000,37
9.513000011444092,37,74.65798660250968,33189527552,65000,37
10.014000177383423,50,74.65798660250968,33189527552,64000,37
10.515000104904175,62,74.65798660250968,33189527552,75000,37
11.015000104904175,61,74.73346542126616,33223081984,86000,37
11.516000032424927,54,74.73346542126616,33223081984,77000,37
12.016999959945679,68,74.73346542126616,33223081984,100000,37
12.516999959945679,43,74.73346542126616,33223081984,81000,37
13.01800012588501,57,74.73346542126616,33223081984,101000,37
13.519000053405762,43,74.73346542126616,33223081984,87000,37
14.019000053405762,58,74.73346542126616,33223081984,84000,37
14.519999980926514,62,74.73346542126616,33223081984,76000,37
15.021000146865845,51,74.73346542126616,33223081984,60000,37
15.522000074386597,63,74.73346542126616,33223081984,83000,37
16.022000074386597,41,74.73346542126616,33223081984,57000,37
16.52300000190735,54,74.73346542126616,33223081984,68000,38
17.02400016784668,60,74.73346542126616,33223081984,81000,38
17.52400016784668,69,74.73346542126616,33223081984,90000,38
18.02500009536743,45,74.73346542126616,33223081984,87000,38
18.526000022888184,58,74.73346542126616,33223081984,83000,38
19.026999950408936,54,74.73346542126616,33223081984,71000,38
19.526999950408936,51,74.73346542126616,33223081984,71000,38
20.028000116348267,60,74.73346542126616,33223081984,69000,38
20.52900004386902,52,74.73346542126616,33223081984,74000,38
21.02999997138977,47,74.73346542126616,33223081984,68000,38
21.52999997138977,55,74.73346542126616,33223081984,63000,38
22.0310001373291,49,74.73346542126616,33223081984,69000,38
22.532000064849854,59,74.73346542126616,33223081984,68000,38
23.032999992370605,66,74.73346542126616,33223081984,89000,38
23.532999992370605,42,74.73346542126616,33223081984,84000,38
24.034000158309937,70,74.73346542126616,33223081984,96000,38
24.53500008583069,46,74.73346542126616,33223081984,85000,38
25.03500008583069,61,74.73346542126616,33223081984,90000,38
25.53600001335144,51,74.73346542126616,33223081984,88000,38
26.036999940872192,55,74.73346542126616,33223081984,84000,38
26.538000106811523,70,74.73346542126616,33223081984,77000,38
27.038000106811523,60,74.73346542126616,33223081984,69000,38
27.539000034332275,71,74.73346542126616,33223081984,96000,38
28.039999961853027,38,74.73346542126616,33223081984,84000,38
28.539999961853027,63,74.73346542126616,33223081984,101000,38
29.04100012779236,55,74.73346542126616,33223081984,77000,38
29.54200005531311,47,74.73346542126616,33223081984,70000,38
30.04200005531311,61,74.73346542126616,33223081984,72000,38
30.542999982833862,49,74.73346542126616,33223081984,59000,38
31.044000148773193,67,74.73346542126616,33223081984,87000,38
31.544000148773193,38,74.73346542126616,33223081984,71000,38
32.045000076293945,71,74.73346542126616,33223081984,94000,38
32.5460000038147,43,74.73346542126616,33223081984,86000,38
33.0460000038147,58,74.73346542126616,33223081984,86000,38
33.54700016975403,52,74.73346542126616,33223081984,87000,38
34.04800009727478,53,74.73346542126616,33223081984,81000,38
34.54900002479553,48,74.73346542126616,33223081984,63000,38
35.049999952316284,57,74.73346542126616,33223081984,92000,38
35.549999952316284,60,74.73346542126616,33223081984,72000,38
36.05200004577637,56,74.73346542126616,33223081984,74000,38
36.55299997329712,63,74.73346542126616,33223081984,71000,38
37.05299997329712,47,74.73346542126616,33223081984,72000,38
37.55400013923645,70,74.73346542126616,33223081984,101000,38
38.0550000667572,48,74.73346542126616,33223081984,86000,38
38.555999994277954,59,74.73346542126616,33223081984,84000,38
39.057000160217285,58,74.73346542126616,33223081984,69000,38
39.55800008773804,59,74.73346542126616,33223081984,72000,38
40.05800008773804,65,74.73346542126616,33223081984,80000,38
40.55900001525879,44,74.73346542126616,33223081984,81000,38
41.05999994277954,61,74.73346542126616,33223081984,72000,38
41.55999994277954,39,74.73346542126616,33223081984,73000,38
42.06100010871887,74,74.73346542126616,33223081984,94000,38
42.562000036239624,49,74.73346542126616,33223081984,84000,38
43.062000036239624,60,74.73346542126616,33223081984,87000,38
43.562999963760376,73,74.73346542126616,33223081984,75000,38
44.06400012969971,42,74.73346542126616,33223081984,70000,38
44.56500005722046,72,74.73346542126616,33223081984,76000,38
45.06599998474121,57,74.73346542126616,33223081984,85000,38
45.56599998474121,68,74.73346542126616,33223081984,93000,38
46.06700015068054,43,74.73346542126616,33223081984,82000,38
46.56700015068054,58,74.73346542126616,33223081984,89000,38
47.068000078201294,57,74.73346542126616,33223081984,73000,38
47.569000005722046,51,74.73346542126616,33223081984,71000,38
48.07000017166138,62,74.73346542126616,33223081984,70000,38
48.57100009918213,35,74.73346542126616,33223081984,58000,38
49.07100009918213,69,74.73346542126616,33223081984,69000,38
49.57200002670288,60,74.73346542126616,33223081984,80000,38
50.07299995422363,74,74.73346542126616,33223081984,101000,38
50.57299995422363,59,74.73346542126616,33223081984,73000,38
51.074000120162964,65,74.73346542126616,33223081984,75000,38
51.575000047683716,72,74.73346542126616,33223081984,97000,38
52.07599997520447,49,74.73346542126616,33223081984,83000,38
52.57599997520447,58,74.73346542126616,33223081984,88000,38
53.0770001411438,62,74.73346542126616,33223081984,72000,38
53.57800006866455,54,74.73346542126616,33223081984,82000,38
54.0789999961853,68,74.73346542126616,33223081984,73000,38
54.580000162124634,46,74.73346542126616,33223081984,70000,38
55.080000162124634,56,74.73346542126616,33223081984,70000,38
55.581000089645386,60,74.73346542126616,33223081984,72000,38
56.08200001716614,70,74.73346542126616,33223081984,96000,38
56.58200001716614,45,74.73346542126616,33223081984,84000,38
57.08299994468689,59,74.73346542126616,33223081984,98000,38
57.58400011062622,67,74.73346542126616,33223081984,73000,38
58.08500003814697,65,74.73346542126616,33223081984,85000,38
58.58500003814697,71,74.73346542126616,33223081984,95000,38
59.085999965667725,51,74.73346542126616,33223081984,77000,38
59.587000131607056,56,74.73346542126616,33223081984,69000,38
60.08800005912781,47,74.73346542126616,33223081984,66000,38
60.58800005912781,65,74.73346542126616,33223081984,75000,38
61.08899998664856,47,74.73346542126616,33223081984,67000,38
61.59000015258789,49,74.73346542126616,33223081984,68000,38
62.09100008010864,63,74.73346542126616,33223081984,71000,38
62.59100008010864,60,74.73346542126616,33223081984,85000,38
63.092000007629395,70,74.73346542126616,33223081984,101000,38
63.593000173568726,53,74.73346542126616,33223081984,74000,38
64.09400010108948,62,74.73346542126616,33223081984,77000,38
64.59400010108948,70,74.73346542126616,33223081984,70000,38
65.09500002861023,52,74.73346542126616,33223081984,81000,38
65.59599995613098,66,74.73346542126616,33223081984,103000,38
66.09599995613098,52,74.73346542126616,33223081984,88000,38
66.59700012207031,60,74.73346542126616,33223081984,83000,38
67.09800004959106,44,74.73346542126616,33223081984,66000,38
67.59800004959106,55,74.73346542126616,33223081984,89000,38
68.09899997711182,53,74.73346542126616,33223081984,66000,38
68.60000014305115,50,74.73346542126616,33223081984,78000,38
69.10000014305115,44,74.73346542126616,33223081984,80000,38
69.6010000705719,59,74.73346542126616,33223081984,102000,38
70.1010000705719,44,74.73346542126616,33223081984,75000,38
70.60199999809265,60,74.73346542126616,33223081984,88000,38
71.10300016403198,62,74.73346542126616,33223081984,80000,38
71.60300016403198,63,74.73346542126616,33223081984,74000,38
72.10400009155273,72,74.73346542126616,33223081984,94000,38
72.60500001907349,50,74.73346542126616,33223081984,82000,38
73.10599994659424,60,74.73346542126616,33223081984,89000,38
